lemma;tags;ordklasse;falsk_positiv
lyd-;NA;PRÆ;1
lyde;anchor;V;1
lydelig;NA;A;
lydt;NA;A;
lygte;"trf;tea";S;
lygte;;V;
lykke;flower;S;
lykkehjul;NA;S;
lykkelig;NA;A;
lykkes;NA;V;
lyksalig;NA;A;
lyksalighed;NA;S;
lyksom;NA;A;
lyske;NA;S;
lystelig;NA;A;
lystig;NA;A;
lystre;NA;V;
lædike;NA;S;
læg;NA;A;
lægge;"wheel;anchor;spades;swords";V;
lægmand;NA;S;
lægte;tøm;S;
lægte;;V;
lække;NA;V;
lækker;"mad;fys;sex;hyg";A;
længde;anchor;S;1
længe;anchor;S;
lære;NA;S;
lære;;V;
lærke;bird;S;1
læske;"drk;hån";V ;
læst;NA;S;1
løb;NA;S;1
løbsk;NA;A;
lødig;swords;A;
løffel;NA;S;
løfte;NA;S;
løgner;NA;S;
løj;anchor;A;
løje;met;V;
løjert;NA;S;
løn;flower;S;1
løsen;swords;S;
løsgængere;NA;S;
løve;spades;S;1
laadring;NA;S;1
laas;"swords;wheel;anchor";S;1
maddike;NA;S;
mag;NA;S;
mage;NA;V;
magelig;NA;A;
mager;NA;A;1
-mager;NA;SUF;
magre;NA;V;
magt;pol;S;
male;"kun;hyg";V;
maledide;NA;S;
malle;zoo;S;
malte;NA;V;
man;NA;S;
mandbar;NA;A;
mandel;"bot;med";S;
mandskab;"swords;anchor";S;
mandslag;NA;S;
mane;rel;V;
mang;NA;S;
mangelhaftig;NA;A;
manggods;NA;S;
mangkorn;NA;S;
mangle;NA;V;
manglebræt;bol;S;
mansat;NA;S;
manse;NA;S;
marekat;zoo;S;
mareminde;NA;S;
mark;currency;S;
marked;mercury;S;1
markgreve;NA;S;
marsk;gel;S;
marskal;mil;S;
marskalk;swords;S;1
marstald;NA;S;
marter;NA;S;
marterpæl;his;S;
martre;NA;V;
mase;NA;S;
mask;NA;S;
maskepi;NA;S;
mast;"ski;ele";S;
mat;"søf;mil";S;
materi;NA;S;1
materie;NA;S;
matjessild;NA;S;
medbroder;NA;S;
medgift;NA;S;
medister;mad;S;
medisterpølse;mad;S;
medlidenhed;NA;S;
meje;lan;V;
mejer;zoo;S;
mejerske;NA;S;
mejse;bird;S;1
melde;"kom;spi;kri";V;
melding;spades;S;
men;spr;K;
men;;A;
mene;NA;V;
menig;sam;S;
mening;mercury;S;
menneske;NA;S;
mere;NA;V;
messe;NA;S;
messing;music;S;
mestepart;NA;S;
mester;anchor;S;
mestermand;NA;S;
mesterskab;NA;S;
middel;øko;S;
middel;;A;
middel-;NA;PRÆ;
middelmådig;NA;A;
middelmaadig;NA;A;1
mide;NA;S;1
midle;NA;V;
midler;NA;S;
midnat;NA;S;
midtvejs;NA;A;1
mige;NA;V;1
mildelig;NA;A;
mile;NA;S;
minde;NA;S;
mindelig;NA;A;
mink;NA;S;
misdæder;kri;S;
misdædisk;NA;A;
mishag;NA;S;
mishage;NA;V;
mishagelig;NA;A;
mishandle;NA;V;
misprise;NA;V;
missemav;NA;S;
mitte;zoo;S;
mod;NA;S;1
mode;NA;S;
modefarve;NA;S;
moderløs;"fish;flower";S;
modvillig;NA;A;
moksen;NA;ADV;
mor;NA;S;
morads;NA;S;
morbær;flower;S;
morderi;NA;S;
morgen;NA;S;
morgendag;NA;S;
morgengave;NA;S;1
morian;NA;S;
morrod;flower;S;
morsel;NA;S;
morter;NA;S;
mortér;swords;S;
mos;gas;S;
moskjen;NA;ADV;
moskølle;anchor;S;
most;NA;S;
mudder;NA;S;
mug;NA;S;
muk;NA;S;
muldvarp;NA;S;
mulig;NA;A;
mumle;NA;V;
mumme;NA;S;
mundlæder;ana;S;
mundskænk;NA;S;
mundtlig;"spr;und";A;
munk;"bird;swords;flower";S;
munke;NA;V;
munkle;NA;V;
murermester;NA;S;
murmle;NA;V;
murrisk;NA;A;
musling;"zoo;gas";S;
mussel;NA;S;
myndig;jur;A;
mynster;NA;S;
mynte;flower;S;
myre;NA;S;1
mysike;flower;S;
mytse;anchor;S;
mytteri;søf;S;
mæfik;bird;S;1
mæfikke;NA;S;
mægle;sam;V;
mægler;"anchor;wheel";S;
mægte;NA;V;
mægtelig;NA;ADV;
mægtig;NA;A;
mægtige;NA;V;
mælde;bot;S;
mælkemund;NA;S;
-mælket;NA;SUF;1
mænge;scl;V;
mærke;"anchor;mercury";S;1
mærling;anchor;S;
mærs;anchor;S;
mæsk;NA;S;
mæske;NA;V;
mæslinger;NA;S;
møde;NA;S;1
mødig;NA;A;
mødrene;NA;S;
møgert;NA;S;1
møje;NA;S;
møje;;V;
møjelig;NA;A;
mølle;spades;S;
møller;bird;S;
mønje;mal;S;
mønster;håa;S;
mønsterplads;swords;S;
mønstre;"swords;anchor";V;
mønstring;"swords;anchor";S;
mønt;ban;S;
mønter;NA;S;
mørser;swords;S;
måde;"spr;kom";S;
maade;NA;V;
mådelig;und;A;
maadelig;NA;A;1
måg;NA;A;
måltid;"etn;mad";S;
maaltid;NA;S;1
maanesyg;NA;A;
maanesaa;NA;S;
måske;NA;ADV;
maaske;NA;ADV;1
maatte;NA;S;
naboerske;NA;S;
nabolig;NA;A;
nagelfast;NA;A;
nagletog;NA;S;
nakke;"wheel;music;anchor";S;
nam;NA;S;1
nar;NA;S;
naragtig;NA;A;
narre;NA;V;
narv;tin;S;
natelrem;NA;S;
nathus;NA;S;
natskade;flower;S;
nattergal;zoo;S;
naturlig;NA;A;
nav;NA;S;
navleorm;NA;S;
navne;comet;S;1
navnkundig;NA;A;1
navnlig;NA;A;
nederst;NA;A;
nedrig;NA;A;
nedslæbe;NA;V;1
negenøje;"fish;comet";N;
nellike;"bot;gas";S;
nemlig;NA;A;
nest;NA;S;
neste;NA;V;
nette;NA;V;
ni;NA;S;1
nid;psy;S;
nide;NA;V;
nidkær;NA;A;
nikke;spo;V;
nitte;wheel;V;
niøje;zoo;S;1
nobel;NA;S;
nobiskro;NA;S;
nok;NA;S;
nok;;ADV;
nok;;ADV;
noksom;NA;A;
non;NA;S;1
noppe;NA;S;
norden;NA;S;1
norsk;anchor;A;1
nu;NA;ADV;1
nydelig;NA;A;
nyk;NA;S;
nykke;NA;S;
nylig;NA;A;
nymære;NA;S;
nyre;NA;S;1
nys;NA;ADV;
nytte;NA;S;
nytte;;V;
nyttelig;NA;A;
nyttig;NA;A;
nytaar;NA;S;1
næb;anchor;S;
nære;wheel;V;
nærig;NA;A;
næring;NA;S;1
næs;NA;S;1
næse;"anchor;wheel;swords;fish";S;1
næsedug;NA;S;
næsvis;psy;A;
nævn;NA;S;1
nød;"wheel;swords;anchor";S;1
nøde;NA;V;1
nødhjælper;NA;S;
nødig;NA;A;
nødsage;NA;V;
nødstald;NA;S;
nødtrængende;NA;V;
nødtørft;zoo;S;
nødtørftig;NA;A;
nødværge;NA;S;
nøgtern;NA;A;
nøjagtig;NA;A;
nøje;NA;A;
nøjsom;NA;A;
nåd;ski;S;
naade;NA;V;
naadler;NA;S;
naar;NA;K;1
od;NA;S;1
offer;NA;S;
offerpenge;NA;S;
ofre;rel;V;
ogne;NA;V;
ok;NA;I;
ol;NA;S;1
old;NA;A;
oldefader;NA;S;
oldefar;fam;S;1
oldemoder;NA;S;
oldentorre;NA;S;
oldermand;NA;S;
oldes;NA;V;
oldfrue;NA;S;
oldgesel;NA;S;
olding;flower;S;1
olie;NA;S;
oliebrødkage;NA;S;
om;NA;S;
ombære;NA;V;
omfange;NA;V;
omflottig;NA;A;
omkomme;NA;V;
omme;NA;ADV;
omsigtig;NA;A;
omskue;NA;V;
omsonst;NA;A;
omstændighed;NA;S;
omtrent;NA;ADV;
onsdag;NA;S;1
opbyde;NA;V;
opdugge;NA;V;
opgribe;NA;V;
ophæve;swords;V;
ophæver;NA;S;
ophøre;NA;V;
opklappe;NA;V;
opklare;anchor;V;
opklemme;NA;V;
opklimme;NA;V;1
opkomme;NA;V;
opkomst;NA;S;
opløb;anchor;S;
opmudse;NA;V;
oppebære;NA;V;
opper;anchor;S;1
oprigtig;NA;A;
oprippe;NA;V;
opru;wheel;V;
oprydde;NA;V;
oprømme;"mercury;wheel";V;
oprømmer;wheel;S;
oprør;NA;S;
oprørsk;NA;A;
opsat;NA;S;
opsidde;NA;V;
opsidder;NA;S;
opsige;mercury;V;
opsigt;NA;S;
opskibe;NA;V;
opskrive;mercury;V;
opskørte;NA;V;
opslaa;"spades;anchor";V;
opstander;anchor;S;1
opstudsig;NA;A;
opsætsig;NA;A;
opsætte;anchor;V;
optog;swords;S;
opvarte;NA;V;
opæske;NA;V;
ordele;NA;V;
orden;"hyg;bio;rel;okk;sam";S;
ordere;NA;V;
ordne;NA;V;
ordning;NA;S;
ordre;NA;V;
ore;NA;S;
organist;bird;S;
orgel;swords;S;
orgelist;NA;S;
orlog;mil;S;
orlogger;NA;S;
orlov;swords;S;
orlove;NA;V;
ort;NA;S;
ort;;S;
os;NA;S;
ost;anchor;S;
ostersk;NA;A;
over;anchor;PRÆP;1
overalt;anchor;ADV;
overantvorde;NA;V;
overbevise;NA;V;
overblive;NA;V;
overbuldre;NA;V;
overbødig;NA;A;
overdigte;NA;V;
overdrage;NA;V;
overdaad;NA;S;
overdådig;NA;A;
overdaadig;NA;A;1
overdaadighed;NA;S;
overens;NA;ADV;
overfald;NA;S;
overflod;mål;S;
overflødelig;NA;A;
overflødig;NA;A;
overgiven;NA;A;
overhale;anchor;V;
overhaling;trf;S;
overherre;NA;S;
overhændig;NA;A;
overhæng;anchor;S;
overhøre;NA;V;
overhørig;NA;A;
overhånd;spo;S;
overhånd;NA;S;1
overile;NA;V;
overlandisk;NA;A;
overlang;anchor;A;
overlast;anchor;S;
overlegen;psy;A;
overlevere;swords;V;
overligge;mercury;V;
overliggende;anchor;A;
overlydt;comet;ADV;
overlægge;NA;V;
overløb;anchor;S;
overmand;"comet;swords";S;
overmod;NA;S;
overmåde;NA;ADV;
overmaade;NA;ADV;1
overmaadig;NA;A;
overraabe;NA;V;
oversejle;NA;V;
oversidde;NA;V;
overskrive;NA;V;
overskærer;"wheel;mercury";S;
overslag;spo;S;
overslaa;NA;V;
overstride;NA;V;
oversætte;NA;V;
overtaste;NA;V;
overtræde;NA;V;
overtrække;NA;V;
overtyde;psy;V;
overveje;NA;V;
overvinde;NA;V;
overvælde;NA;V;
overvældig;NA;A;
ovn;wheel;S;1
ovnbrød;NA;S;
ovnsmund;NA;S;1
ovre;NA;S;
ovrighed;NA;S;
ovs;NA;S;1
padde;anchor;S;
paddehat;flower;S;
padre;NA;V;
pagt;NA;S;
pak;sam;S;
pakke;oad;V;
pakkenelliker;NA;S;
pal;NA;ADV;
palads;NA;S;
paladsgreve;NA;S;
pale;NA;S;
palle;NA;S;1
palt;NA;S;
paltsrok;NA;S;
pamper;spades;S;
pande;gas;S;
pander;NA;S;
panel;"byt;sam;tek;aut;tøj;psy";S;
pannel;NA;S;1
panser;"mil;pot";S;
pant;"jur;øko;han";S;
pante;NA;V;
pantoffel;NA;S;
pap;NA;S;
papegøje;"bird;flower;anchor";S;
papir;mercury;S;
pappe;NA;V;
par;zoo;S;
paradiskorn;NA;S;
pardel;NA;S;
parder;NA;S;
parfots;NA;S;
parkem;NA;S;
parlament;NA;S;
parlamente;NA;S;1
part;anchor;S;
parte;NA;V;
parti;"mercury;anchor";S;
partisan;NA;S;
pas;NA;S;
pas;;S;
pasbord;NA;S;
pashamp;NA;S;
paspurt;NA;S;
passager;NA;S;
passe;NA;V;
passeport;NA;S;
passion;music;S;
passionerer;NA;S;
patine;NA;S;
patron;wheel;S;
patrone;NA;S;
paulun;NA;S;
pave;rel;S;
pavement;NA;S;
pavlun;NA;S;1
pavst;spades;S;
peber;flower;S;1
pebling;und;S;
pejle;anchor;V;
pejs;bol;S;
pekkelhering;NA;S;1
peklin;NA;S;
peld;NA;S;
pels;"zoo;tøj;nyd";S;
pelser;NA;S;
pelsner;NA;S;1
pelteri;NA;S;
pen;NA;S;1
pene;NA;S;
penningebrev;NA;S;
penningebræde;NA;S;
pens;NA;S;
pensel;mal;S;
pension;NA;S;
pergament;NA;S;
perikel;NA;S;
perk;NA;S;
perle;NA;S;
perm;bog;S;
perse;mad;S;
perse;;V;
persik;NA;S;
persike;NA;S;1
persil;NA;S;
persille;bot;S;
persken;NA;S;
persone;NA;S;
pert;NA;S;
pert;;S;
pfalzgreve;NA;S;
phuj;NA;I;
pibe;"nyd;tek;msk";S;
pibe;;V;
pibekande;NA;S;
pibeovn;NA;S;
piber;"bird;fish;anchor";S;
pig;NA;I;
pige;NA;S;1
pik;anchor;S;
pikkelhering;NA;S;
pikkelhue;swords;S;
pikkeronne;anchor;S;
pil;"våb;bot;und";S;
pilar;NA;S;
pilgrim;NA;S;1
pilkentavl;NA;S;
pille;med;S;
pille;;S;
pind;"anchor;spades";S;1
pindesyl;NA;S;1
pindsyl;NA;S;
pine;anchor;S;1
pinebænk;NA;S;
pinelig;NA;A;1
pinelighed;NA;S;
pingets;NA;S;1
pings;NA;S;
pinke;NA;S;
pinlig;NA;A;
pinse;NA;S;
pinsun;NA;S;
pint;NA;S;
pint;;S;
pip;NA;S;
piping;NA;S;
pippe;NA;V;
pirris;NA;S;
pis;NA;S;
pisel;NA;S;
pisse;NA;V;
pit;NA;S;
pitser;NA;S;
pitsere;NA;S;1
pitserring;NA;S;
pitsier;NA;S;1
pitsiere;NA;S;1
pjalt;"tøj;psy";S;
plade;"msk;gas;aut;spi;fam;fot";S;
pladeslaer;NA;S;1
pladeslager;NA;S;
pladre;kom;V;
plads;"mercury;anchor";S;
plage;NA;S;
plage;;V;
plakke;swords;V;
plan;wheel;S;
planche;NA;S;
planet;NA;S;
plank;NA;S;1
planke;"byt;spo";S;
planse;NA;S;
plante;bot;S;
plante;;V;
plasning;NA;S;
plaster;swords;S;
plat;NA;A;
platte;NA;S;
platten-;NA;PRÆ;
plattenslager;NA;S;
plege;NA;V;
pleje;wheel;V;
plejl;lan;S;
plet;NA;S;
pligt;NA;S;
pligte;NA;V;
pligteligen;NA;ADV;
pligtig;NA;A;
plinke;NA;V;
plog;NA;S;
plogskat;NA;S;
pludre;NA;V;
pluds;NA;S;
pludselig;NA;A;
pludseligen;NA;ADV;
pludsig;NA;A;
plukgæld;NA;S;
plump;NA;A;
plustre;NA;V;
plustreplystre;NA;V;1
plyg;NA;S;
plyndergreve;anchor;S;
plyndre;NA;V;
plæk;NA;S;
pløk;NA;S;
podagel;NA;S;
podagelsk;NA;A;
podagra;NA;S;
podangel;NA;S;1
pode;NA;S;
pode;;V;
poderis;NA;S;
pogge;NA;S;
pojt;NA;S;1
pojte;NA;S;
pok;NA;S;
pokker;NA;S;
pol;NA;S;
polamit;NA;S;
polej;flower;S;
poleje;NA;S;1
poløxe;NA;S;
pometekens;NA;S;
pomissten;NA;S;
pommerinke;NA;S;
popelsi;NA;S;
poppel;flower;S;
poppele;NA;S;
poppelen;NA;S;
poppelsi;NA;S;
porreløg;NA;S;
pors;bot;S;
port;anchor;S;
portener;NA;S;1
porthus;NA;S;
portner;NA;S;
portugaløs;NA;S;
positiv;NA;S;
possement;NA;S;
post;NA;S;
posteg;NA;S;
postej;NA;S;
postelats;NA;S;
postiv;NA;S;1
pote;"zoo;ana";S;
potte;bol;S;
potter;NA;S;
potteskår;NA;S;
potz;NA;I;
pragt;NA;S;
prakke;NA;V;
prakker;NA;S;
prakkere;NA;S;1
prakkerfoged;NA;S;
praktik;NA;S;
praktisere;NA;V;
pral;NA;S;
prale;NA;V;
pram;"skb;skm";S;
prampere;NA;V;
prampering;NA;S;
prang;NA;S;
prange;NA;S;
prange;;V;
prange;;V;
preg;NA;S;
pren;håa;S;1
prene;NA;V;
prent;NA;S;
prente;NA;V;
prenteri;NA;S;
present;s;S;
prik;anchor;S;
prikke;"erh;fyo";V;
prikle;hav;V;
prim;music;S;1
prime;NA;V;
primegelt;anchor;S;1
primegæld;NA;S;
prin;NA;S;
pris;NA;S;
prise;NA;V;
priselig;NA;A;
prison;NA;S;
privet;NA;A;
proces;NA;S;
proest;NA;S;1
profos;NA;ADV;
prop;"ele;ana;hel;psy";S;
proper;NA;A;1
prost;NA;S;1
provest;NA;S;1
proviant;NA;S;
proviantbrød;NA;S;
provst;NA;S;
provsti;NA;S;
prunk;NA;S;
pruste;kom;V;
prutte;han;V;
pryne;NA;V;
prys;NA;S;
prysk;NA;A;
pryssing;NA;S;
prædike;NA;V;1
prædiken;NA;S;1
prælat;bird;S;1
prøjser;NA;S;
prøve;wheel;S;
prøve;;V;
pudder;NA;S;
pudderbysse;NA;S;
puds;NA;S;
puge;øko;V;
pugge;NA;S;
puk;NA;S;
pukke;NA;V;
pukkel;"zoo;fyo;gel";S;
pukker;NA;S;
pukkere;NA;S;
pukpyk;NA;S;
puld;tøj;S;
pulpet;NA;S;
pulre;NA;V;
puls;NA;S;
pult;music;S;
pulteri;NA;S;
pulver;NA;S;
pulverisere;NA;V;
pumpe;anchor;S;
pumpetugge;NA;S;
punder;NA;S;1
pundert;NA;S;
pung;NA;S;
punkt;"music;swords";S;1
puppe;NA;S;
pur;NA;A;1
purgere;NA;V;
purre;anchor;V;
pus;NA;S;
puste;"hån;spr;spi;zoo;fyo";V;
puster;NA;S;
pustere;NA;S;1
put;NA;S;
puts;NA;S;1
pykke;NA;S;
pynt;NA;S;
pynte;NA;V;
pægl;mål;S;
pæl;anchor;S;1
pæle;NA;V;1
pæon;flower;S;1
pøjt;NA;S;1
pøker;NA;S;
pøl;NA;S;
pølle;bol;S;
pønse;NA;V;
pøtker;NA;S;
på;NA;PRÆP;1
paa;"comet;anchor;mercury;swords";PRÆP;1
paaskyde;NA;V;
rabalder;NA;S;
rabus;NA;S;
rack;NA;S;
rad;NA;S;
raft;NA;S;
rage;NA;S;
rage;;V;
rak;NA;S;
rakke;"sam;kom;rej";V;
rakker;spades;S;
rakkere;NA;S;1
rakkeri;NA;S;
rakkerknægt;NA;S;
rakkerkule;NA;S;
ram;NA;S;
ramme;NA;S;
ramme;;V;
rampe;NA;S;
rams;flower;S;
ranke;"bot;bol";S;
ransel;anchor;S;
ranson;anchor;S;
ransone;NA;V;
ransoning;NA;S;
rap;spr;A;
raphøns;NA;S;
rappe;NA;V;
rar;NA;A;
ras;;S;
rase;NA;V;
rasekop;NA;S;1
rasende;NA;A;
rask;NA;S;
rask;;A;
raskop;NA;S;
rasle;NA;V;1
rasp;wheel;S;
rast;NA;S;
raste;NA;V;
rat;tra;S;
rav;mercury;S;
re;NA;S;
rebbenspær;NA;S;
rebbespær;NA;S;1
rebe;NA;S;
reberbane;hån;S;
rebslager;NA;S;
rebsmand;NA;S;
red;hvn;S;
redde;spo;V;
reddesløs;NA;A;
redding;NA;S;
rede;NA;A;
rede;;V;
redelig;NA;A;
reder;NA;S;
redig;NA;A;
redskab;hån;S;
refal;NA;S;1
refald;NA;S;1
regd;NA;S;
regel;NA;S;
regerer;NA;S;
regerere;NA;S;1
regimente;NA;S;
regne;"mat;mål";V;
regnere;NA;V;
regnskab;erh;S;
rej;NA;S;1
rejnfal;NA;S;
rejnfald;NA;S;
rejnfan;bot;S;
rejse;rej;S;
rejse;;V;
rejsener;NA;S;1
rejsig;NA;A;
rejsner;NA;S;
rekling;NA;S;1
rem;NA;S;
rem;;S;
remme;NA;V;
remmesnider;NA;S;
remmesnidere;NA;S;1
remmesnier;NA;S;1
remmesniere;NA;S;1
remmet;NA;A;
remp;NA;S;
rempe;NA;S;1
remsnider;NA;S;1
remsnidere;NA;S;1
remsnier;NA;S;1
remsniere;NA;S;1
rende;NA;S;
rendebane;NA;S;
rendespil;NA;S;
rendesten;anchor;S;
rengnere;NA;S;1
rente;"ban;øko";S;
rente;;V;
rentemester;NA;S;
rentener;NA;S;
reppe;NA;V;
resener;NA;S;1
ret;"anchor;swords";S;
ret;;S;
ret;;A;
retfærdelig;NA;ADV;
retfærdig;rel;A;
retfærdige;NA;V;
retfærdighed;NA;S;
retgang;NA;S;
retmæssig;NA;A;
retning;swords;S;
retsindig;NA;A;
retskyldig;NA;A;
rettebænk;NA;S;1
retter;NA;S;
retterbænk;NA;S;
retterdag;NA;S;
rettergang;NA;S;
rettersværd;NA;S;1
rettesnor;NA;S;
rettesværd;NA;S;
rettighed;NA;S;
rev;NA;S;1
rever;NA;S;
revier;NA;S;1
revir;anchor;S;
revle;NA;V;
ri;skr;V;1
ribalde;NA;S;
ribbe;"bot;bol;ark;spo;hån";S;
ribbe;;S;
ribbe;;V;
ridder;"spades;fish;flower";S;
ridderlig;NA;A;
ridderskab;NA;S;
riddersmand;NA;S;
ridelagen;NA;S;
rigel;NA;S;
rigsk;NA;A;
rigte;NA;V;
rigteligen;NA;ADV;
rigtig;NA;A;
rilagen;NA;S;1
rille;NA;S;1
rim;NA;S;
rime;NA;V;
rimpe;håa;V;
rind;NA;S;
rindsel;NA;S;
ringe;øko;A;
ringeldue;NA;S;
rinsk;NA;A;
ris;NA;S;
ris;;S;
rise;NA;S;1
riselsk;NA;A;
risk;NA;A;
risp;NA;S;
rist;bol;S;
rist;;S;
riste;NA;V;
ritmester;mil;S;
ritte;NA;V;
rive;NA;V;
rive-;wheel;PRÆ;
ro;NA;V;
rode;oad;S;
rode;;S;
rodemester;NA;S;
rodset;NA;S;
rodskær;NA;S;
roe;bot;S;
rog;NA;S;1
rok;NA;S;
rokere;NA;V;1
rokke;zoo;S;
rokkel;NA;S;
roland;NA;S;
romer;NA;S;
romtalende;NA;A;
ror;anchor;S;
ros;NA;S;
rosbår;NA;S;1
rosbåre;NA;S;
rosbaare;NA;S;1
rose;"flower;swords;anchor";S;
rosen-;NA;PRÆ;
rosenfarvet;NA;A;
rosennobel;NA;S;
rosenobel;NA;S;1
rosin;NA;S;
rosom;NA;A;
rost;NA;S;
rostere;NA;V;
rotlask;NA;S;
rotsten;NA;S;
rotte;zoo;S;
rottekrudt;NA;S;
rotværk;NA;S;
rov;"kri;zoo";S;
ru;ana;A;
ru;;V;
rubank;NA;S;
rubin;NA;S;1
rud;NA;S;
rude;"gla;ark";V;
rude;;S;
rue;NA;V;
rue;;V;
ruelse;psy;S;
ruf;ski;S;
ruffe;NA;V;
ruffer;NA;S;
ruffere;NA;S;1
rufferi;NA;S;
rufferske;NA;S;
rufoder;NA;S;1
rug;NA;S;
rugfoder;NA;S;
rughugger;NA;S;
rugte;NA;S;1
ruhugger;NA;S;1
ruldug;NA;S;
rulle;gas;S;
rulle;;V;
rum;anchor;A;1
rumeni;NA;S;
rummeldus;NA;S;1
rummeldøs;NA;S;
rumor;NA;S;
rumpe;"swords;anchor";S;
rumple;NA;V;1
rumstere;NA;V;
rund;NA;A;
runddel;swords;S;
rundel;NA;S;1
rundholt;ski;S;
rus;NA;S;
ruse;anchor;S;
ruse;;V;
ruske;NA;V;
russer;NA;S;
russisk;flower;A;
rust;NA;S;
rust-;NA;S;
ruste;mil;V;
rustig;NA;A;
rustmester;NA;S;
rutte;NA;V;
ryg;NA;S;1
ryge;NA;V;1
rygfoder;NA;S;1
rygfoer;NA;S;
ryggeløs;NA;A;1
ryggesløs;NA;A;
rygkræf;NA;S;1
rygkræft;NA;S;
rygløs;NA;A;1
rygte;NA;S;
rygtes;kom;V;
rygtig;NA;A;
rykke;swords;V;1
rylagen;NA;S;
rympling;NA;S;
ryspe;NA;V;
rystig;NA;A;
ryting;NA;S;
rytter;"spo;mil";S;
rytteri;mil;S;
rytting;NA;S;1
ræddike;flower;S;
rædike;NA;S;1
ræk;NA;S;
rækel;NA;S;
række;"swords;wheel";S;
rækkebænk;NA;S;
rækkje;NA;V;
ræling;ski;S;
rænke;NA;S;1
rødbrissel;NA;S;
røde;NA;V;
rødgyder;NA;S;
rødskær;NA;S;
rødsten;"comet;mercury";S;
røffel;NA;S;
røje;NA;V;
røjer;NA;S;
røllike;bot;S;
rømme;"mercury;wheel;anchor";S;1
rør;NA;S;
rørdrum;zoo;S;
røre;NA;S;
rørig;NA;A;
røst;NA;S;
røstmester;NA;S;
røtte;NA;S;1
røve;NA;V;
røver;NA;S;
raa;anchor;S;1
raad;NA;S;1
raadgiver;NA;S;1
rådhus;oad;S;
raadhus;NA;S;1
raadmand;fish;S;1
raadne;NA;S;
raadsfrue;NA;S;
rådslag;NA;S;
raadslag;NA;S;1
raadslaa;NA;V;
rådstol;NA;S;
råg;NA;S;1
raage;bird;S;
sabbe;NA;V;
sabel;NA;S;
sadden;NA;S;
sade;NA;S;
sadel;"swords;anchor;wheel;music";S;1
sadelfad;NA;S;
sadelmager;NA;S;
saden;NA;S;1
saffe;NA;V;
safran;flower;S;1
sagt;NA;A;
sagte;NA;A;1
sagtelig;NA;ADV;
sagthed;NA;S;
sagtighed;NA;S;
sagtmod;NA;S;
sagtmodig;psy;A;
sagvolder;NA;S;
sakke;NA;V;
sal;NA;S;1
salig;rel;A;
salighed;NA;S;
saliglig;NA;S;
sallun;NA;S;
salse;NA;S;
salsirken;NA;S;
saltsole;NA;S;
salve;apo;S;
salve;;V;
salvie;flower;S;1
salving;NA;S;
salvning;NA;S;1
sam-;NA;PRÆ;
samarie;NA;S;
samkøb;NA;S;
samle;"hån;gas";V;
samt;NA;K;1
samtkøb;NA;S;1
samtlig;NA;A;
samtligen;;ADV;
samvittighed;psy;S;
sandart;fish;S;
sanddune;NA;S;
sangmester;NA;S;
sankt;flower;S;1
sap;NA;S;
sardug;NA;S;
sargiant;NA;S;
sart;NA;S;
sasse;NA;S;
sav;NA;S;
savblok;NA;S;
savdæle;NA;S;
save;NA;S;
savle;NA;V;
schartek;mercury;S;
schout;NA;S;
se;NA;V;1
seddel;ban;S;
sedefer;NA;S;1
sedfer;NA;S;
segelsten;NA;S;1
segl;lan;S;
segl;;S;
seglatie;NA;S;
segle;NA;V;
seglgarn;NA;S;1
seglrede;NA;A;
seglsten;NA;S;
segne;NA;V;
segnet;NA;A;
sejdenskib;NA;S;
sejdespil;NA;S;
sejer;NA;S;
sejerstund;NA;S;
sejerværk;NA;S;
sejlads;søf;S;
sejlgarn;tin;S;
sejnskib;NA;S;1
sejrværk;NA;S;1
sejser;NA;S;
sekker;NA;A;1
sekkering;NA;S;
seks;NA;S;1
sele;anchor;S;1
selle;NA;S;
selle;;S;
selle;;V;
selligen;NA;ADV;
sellje;NA;S;1
selskab;NA;S;
selv;spades;P;1
selv-;NA;PRÆ;1
selvdigtet;NA;A;
selvmyndig;NA;A;
selvstændig;NA;A;
selvvillig;NA;A;
selvvoxen;NA;A;
semand;NA;S;
sene;NA;V;1
sengenætter;NA;S;
senkel-;NA;S;
sennes-;NA;PRÆ;
serpentine;swords;S;
setteni;NA;S;
sevenbom;bot;S;
sex;NA;T;1
si;NA;S;
si;;V;
sibe;NA;V;
sid;NA;A;1
sideldort;NA;S;
siden;NA;S;
sidendort;NA;S;1
sig;NA;S;
sigel;NA;S;
sigel;;S;
signet;flower;S;
sigt;NA;S;1
sigte;våb;S;
sikker;NA;A;
sikkerhed;swords;S;
sikkerlig;NA;A;
sikling;NA;S;
sikre;swords;V;
sikring;swords;S;
sil;NA;S;
silkestikker;NA;S;
simand;NA;S;1
simle;NA;S;
simpel;"spades;swords";A;
simpelhed;NA;S;
sind;psy;S;
sindal;NA;S;
sindeldort;NA;S;1
sindelig;NA;A;
sindendort;NA;S;1
sindesløs;NA;A;
sindig;psy;A;
sindighed;NA;S;
sindlig;NA;A;1
sindløs;NA;A;
sindrig;NA;A;
singel;NA;S;
singrøn;flower;S;
sinkadusen;NA;S;
sinke;NA;S;
sir;NA;S;
sirat;music;S;
sire;music;V;
siring;NA;S;
sise;NA;S;
sisebod;NA;S;
sisik;NA;S;
sisiken;NA;S;
sisken;zoo;S;1
sisse;NA;V;
sive;NA;V;
sjelvvoxen;NA;A;1
sjov;anchor;S;1
sjughed;NA;S;
