lemma;tags;ordklasse
bækken;"ana;sun;msk;gel";S
bære;"music;anchor;swords";S
bærme;"nyd;lan;scl";S
bæst;zoo;S
bæve;NA;V
bæver;NA;S
bævergejl;NA;S
bøddel;NA;S
bøddele;NA;S
bødker;NA;S
bøffel;NA;S
bøje;"swords;anchor";S
bøjert;anchor;S
bønhas;NA;S
bønhase;NA;V
bør;"tøj;hav";S
børlig;NA;A
bøsse;"våb;sex";S
bøsse;NA;V
bøssekrudt;NA;S
bøssesten;NA;S
bøtte;NA;S
både;NA;S
både;NA;V
bådsmand;anchor;S
båke;hvn;S
båre;swords;S
celle;"anchor;wheel";S
chartek;NA;S
daddel;bot;S
dagting;comet;S
dagtinge;NA;V
dale;NA;V
damask;NA;S
#NAVN?;NA;SUF
danne;pæd;V
dannekvinde;NA;S
dannemand;NA;S
dat;NA;S
datlig;NA;A
datum;NA;S
deger;mercury;S
dejlig;NA;A
dejse;anchor;V
del;"und;tek;mål";S
delagtig;NA;A
dele;"mat;edb";V
deromtrent;NA;ADV
desligeste;NA;ADV
desmer;NA;S
desmerdyr;zoo;S
desmerurt;bot;S
desto;NA;ADV
dialesalve;NA;S
digegreve;NA;S
digel;kem;S
digt;NA;S
digte;lit;V
dirk;NA;S
dise;NA;S
dising;NA;S
djærv;NA;A
djævelsk;NA;A
dobbe;NA;S
dobbel;NA;S
dobbelt;"comet;music;swords;anchor";A
doble;NA;V
dog;NA;ADV
dogge;anchor;V
dok;"ski;hvn";S
dol;NA;A
dole;NA;S
dollar;ban;S
dolslag;NA;S
donkraft;hån;S
drabant;NA;S
drabelig;NA;A
drage;"myt;lgg;spo;his;zoo";V
drager;"rej;ark";S
dragesele;NA;S
dragt;NA;S
dranker;NA;S
dreje;"spr;tel;pom;hån;han";V
dressel;NA;S
driftig;NA;A
drikfældig;drk;A
drille;NA;V
driste;NA;V
dristelig;NA;A
dristig;NA;A
drog;NA;S
dromedar;NA;S
drone;"zoo;tek;mil;msk";S
dros;NA;S
drossel;zoo;S
drost;NA;S
dru;NA;S
dru;NA;A
drue;swords;S
druebor;wheel;S
drukkenbolt;drk;S
drukkenskab;NA;S
drummer;NA;S
drunk;NA;S
dryp;NA;S
dryppe;NA;V
dræk;NA;S
dræksjung;comet;S
drøve;NA;V
drøvelig;NA;A
drøvelse;NA;S
dudendop;NA;S
dug;tin;S
dugge;NA;V
dugt;søf;S
dukke;wheel;S
dukke;NA;V
dumkøn;NA;A
dumrian;NA;S
dunder;NA;S
dundre;NA;V
dunk;NA;S
dunst;NA;S
dup;"swords;anchor;wheel";S
durik;NA;S
dus;spades;S
dusin;NA;S
dval;NA;A
dvaledrik;NA;S
dvas;NA;A
dvælg;anchor;S
dvælg;HUS;S
dygtig;NA;A
dyppe;NA;V
dyrebar;NA;A
dyrelig;NA;A
dyring;NA;S
dyst;NA;S
dyster;NA;A
dyvel;hån;S
dække;NA;S
dække;NA;V
dæksel;tek;S
dæle;NA;S
dæmpe;fys;V
dærve;NA;V
dødike;NA;S
dødslag;NA;S
døje;NA;V
dørk;ski;S
dørns;NA;S
dørslag;swords;S
døse;NA;V
dåb;rel;S
dåragtig;NA;A
dåre;NA;S
dåre;NA;V
dårekiste;med;S
dårlig;NA;A
ebbe;NA;S
ebbe;NA;V
eddike;NA;S
edsvoren;NA;A
effen;NA;A
efterdi;NA;K
efterdrage;NA;V
efterhånden;NA;ADV
efterretning;NA;S
ege;NA;S
egentlig;NA;A
egt;NA;S
ejendom;"sam;jur";S
ejland;NA;S
elende;NA;S
elende;NA;A
elendig;"fyo;psy";A
elfenben;NA;S
elm;"flower;comet";S
embedsmand;NA;S
endelig;"music;swords";A
endesked;NA;S
endig;NA;A
endragt;NA;S
endrægtig;NA;A
ene;NA;V
enhjørning;"comet;swords";S
enig;NA;A
enke;NA;S
enkel;NA;A
enlig;NA;A
ens;NA;A
enspænder;NA;S
entlangs;NA;PRÆP
entre;anchor;V
entride;NA;V
entvige;NA;V
erbarme;NA;V
erfare;NA;V
#NAVN?;NA;SUF
erkende;NA;V
erlægge;NA;V
ernære;NA;V
erobre;NA;V
erstatte;jur;V
ervise;NA;V
es;"spi;spo";S
es;NA;S
eskadre;"anchor;swords";S
esping;NA;S
esse;"comet;s";S
etmål;søf;S
even;anchor;A
eventyr;NA;S
eventyre;NA;V
evert;skb;S
evig;NA;A
façon;NA;S
fadder;rel;S
fadderskab;NA;S
fadderske;NA;S
fade;NA;V
fading;NA;S
fagte;comet;S
faldbom;NA;S
falk;zoo;S
falkeleje;NA;S
falkoner;NA;S
falkonet;NA;S
fals;NA;S
FALSK;"kri;nat;msk";S
FALSK;NA;A
falske;NA;V
falskelig;NA;A
falskner;kri;S
famle;comet;V
fanden;NA;S
fane;"msk;pap;edb;mil";S
fange;NA;S
fange;NA;V
fangen;NA;A
fangst;fsk;S
fanke;NA;S
fant;NA;S
fare;NA;S
fare;NA;V
farebog;NA;S
farlig;spo;A
farlighed;NA;S
farsot;NA;S
fart;anchor;S
fartøj;NA;S
farve;"mal;gas;sam;ana;pol;spi";S
farve;NA;V
farvelade;kun;S
farver;NA;S
fastelavn;rel;S
fatte;swords;V
feber;NA;S
fedel;music;S
fedtegrever;gas;S
fejde;NA;S
fejde;NA;V
feje;"hyg;zoo";V
fejefyr;NA;S
fejl;anchor;S
fejl;NA;ADV
fejre;NA;V
fejt;NA;ADV
felt;NA;S
fenne;NA;S
fennikel;flower;S
ferdendel;NA;S
fernis;mal;S
fernisere;NA;V
fersk;"mad;nat;psy";A
ferske;wheel;V
fetalje;NA;S
fetaljebroder;NA;S
fibel;NA;S
figen;flower;S
fikke;NA;S
fil;hån;S
file;anchor;V
filt;tin;S
fimre;NA;V
finke;"zoo;gas";S
finkeljokum;NA;S
finker;NA;S
finne;NA;S
finne;NA;S
fiol;msk;S
fire;hån;V
firk;spades;S
fistel;NA;S
fjas;NA;S
fjerdendel;NA;S
fjældfras;NA;S
fjæs;NA;S
flab;"zoo;ana;psy";S
flage;NA;V
flagermus;zoo;S
flagspætte;zoo;S
flak;gel;A
flamsk;NA;A
fled;NA;S
flid;NA;S
flint;NA;S
flintsten;NA;S
flise;NA;S
flitter;mercury;S
flittig;NA;A
flod;"geg;typ";S
flok;NA;S
floksilke;tin;S
flomme;ana;S
florere;NA;V
flos;NA;S
flugt;swords;S
fluks;NA;ADV
flunke;NA;V
flunkende;NA;A
fly;NA;V
flygte;NA;V
flygtig;kem;A
flæb;NA;S
flække;sam;S
fløj;"pol;spo;ark";S
fløjl;tin;S
fløjte;NA;S
fløjte;msk;S
flåd;comet;S
fod;"comet;swords";S
foder;NA;S
fodgænger;NA;S
fodre;anchor;V
foermand;NA;S
foerværk;NA;S
foged;jur;S
fogedi;NA;S
fok;anchor;S
fold;NA;S
#NAVN?;comet;SUF
for-;NA;PRÆ
foragt;psy;S
foragte;psy;V
forandre;anchor;V
forarbejde;"hån;psy";V
forarge;psy;V
forarme;NA;V
forbande;NA;V
forbandt;"byg;mur";S
forbarme;NA;V
forbavse;NA;V
forbede;NA;V
forbeding;NA;S
forbedre;NA;V
forbeholde;NA;V
forberge;NA;V
forbi;NA;ADV
forbie;NA;V
forbinde;NA;V
forbistre;NA;V
forbistret;NA;A
forbitre;NA;V
forbjude;NA;V
forblinde;hel;V
forblive;NA;V
forblomme;NA;V
forblommet;NA;A
forblænde;NA;V
forbløde;med;V
forbløffe;NA;V
forborg;NA;S
forborgen;NA;A
forborget;NA;A
forbrede;NA;V
forbryde;"kri;jur";V
forbrænde;wheel;V
forbud;NA;S
forbulne;NA;V
forbund;pol;S
forbyde;NA;V
forbygge;anchor;V
forbytte;NA;V
fordel;spo;S
fordelagtig;NA;A
fordele;NA;V
fordemme;NA;V
forderlig;NA;A
fordrag;NA;S
fordrage;NA;V
fordre;spades;V
fordrikke;NA;V
fordriste;NA;V
fordrive;NA;V
fordrukken;drk;A
fordæk;anchor;S
fordækt;"swords;spades";A
fordærv;NA;S
fordærve;bik;V
fordærvelig;NA;A
fordøje;med;V
fordømme;"kom;rel";V
fordøve;NA;V
fore-;NA;PRÆ
foreagte;NA;V
forebilde;NA;V
forebringe;NA;V
forefalde;NA;V
forefinde;NA;V
foregå;NA;V
forehave;NA;V
forehavende;NA;S
forekomme;NA;V
forelægge;NA;V
forene;NA;V
forenige;NA;V
forerre;NA;V
forese;NA;V
forestille;NA;V
forestå;NA;V
foresætte;swords;V
foretage;NA;V
forfader;"fam;bio";S
forfald;NA;S
forfalde;"ark;øko";V
forfalske;NA;V
forfang;NA;S
forfange;NA;V
forfare;anchor;V
forfaren;NA;A
forfatte;lit;V
forfløjen;psy;A
forfordele;NA;V
forfragte;"anchor;mercury";V
forfriske;"anchor;swords";V
forfule;NA;V
forfylde;NA;V
forfægte;NA;V
forfærde;psy;V
forfærdelig;NA;A
forfærdige;NA;V
forføje;NA;V
forfølge;swords;V
forføre;NA;V
forfå;NA;V
forgift;NA;S
forgifte;NA;V
forgiftig;NA;A
forgive;spades;V
forglemme;NA;V
forgrebs;NA;ADV
forgribe;NA;V
forgrille;NA;V
forgylde;mtl;V
forgylden;NA;A
forgængelig;NA;A
forgætte;NA;V
forgæves;NA;ADV
forgøre;NA;V
forgå;NA;V
forhade;NA;V
forhandle;"kom;han";V
forhaste;NA;V
forhindre;NA;V
forholde;NA;V
forhore;NA;V
forhoved;NA;S
forhugge;NA;V
forhverve;NA;V
forhyre;erh;V
forhæng;bol;S
forhærde;NA;V
forhærge;NA;V
forhøje;music;V
forhøjning;NA;S
forhør;NA;S
forhøre;NA;V
forhåbe;NA;V
forhåne;NA;V
forhånlig;NA;A
forjage;NA;V
forkaste;NA;V
forkastel;NA;S
forkere;NA;V
forkering;NA;S
forkert;NA;A
forklage;NA;V
forklare;NA;V
forklejne;NA;V
forklikke;NA;V
forklæde;NA;V
forknytte;NA;V
forkomme;NA;V
forkommen;NA;A
forkorte;anchor;V
forkoste;NA;V
forkrybe;NA;V
forkrænke;NA;V
forkulde;NA;V
forkvikke;NA;V
forkynde;jur;V
forkøb;mercury;S
forkøle;hel;V
forlade;NA;V
forlag;NA;S
forlange;NA;V
forlaste;anchor;V
forlede;NA;V
forleden;NA;A
forlegen;NA;A
forlene;NA;V
forlette;NA;V
forlide;NA;V
forlige;NA;V
forligge;anchor;V
forligne;NA;V
forlis;NA;S
forlise;anchor;V
forlisning;NA;S
forloren;gas;A
forlov;NA;S
forlove;NA;V
forlover;NA;S
forlust;NA;S
forlyde;NA;V
forlyste;NA;V
forlægge;trf;V
forlænge;mat;V
forløb;NA;S
forløbe;NA;V
forløse;NA;V
form;"wheel;swords";S
formale;NA;V
formaledide;NA;V
formane;NA;V
formaste;NA;V
formastelig;NA;A
forme;NA;V
formedelst;NA;PRÆP
formelde;NA;V
