lemma;tags;ordklasse
fælg;HÅN;S
fængsel;JUR;S
fænnik;MIL;S
fætter;SLÆ;S
føje;JUR;S
føring;SØF;S
gaber;SAM;S
gadder;HUS;S
gaffel;"GAS;MIL;SØF;HÅN";S
galej;SØF;S
galgant;FLO;S
galle;"FLO;KRO;HÅN";S
galm;VER;S
gangvogn;BEV;S
ganning;FØL;S
garn;HÅN;S
gave;BES;S
gebyr;BES;S
gebærd;HAN;S
gederams;FLO;S
gefald;"FØL;HAN";S
gehør;SAN;S
geled;MIL;S
gelegenhed;HAN;S
gelejdsmand;BEV;S
gemak;HUS;S
gemyse;FLO;S
gerrighed;BES;S
geryst;HÅN;S
geråd;BES;S
gesel;HÅN;S
gesellestik;MIL;S
gesind;HUS;S
gesindeken;HUS;S
geskæft;HAN;S
geskænk;BES;S
getov;HÅN;S
gevind;BES;S
gevær;MIL;S
gie;SØF;S
gifttyde;FLO;S
gige;MUS;S
gigt;KRO;S
gisel;MIL;S
gjordel;BEK;S
glas;"HÅN;GAS;SØF";S
glavind;MIL;S
glib;HÅN;S
glut;SAM;S
glætte;HÅN;S
greve;SAM;S
grever;GAS;S
grib;FAU;S
grimmenis;SAM;S
grindel;HUS;S
groffenbrad;GAS;S
grotfyrste;SAM;S
grube;"VER;HÅN";S
grue;"HUS;VER";S
grus;VER;S
grut;"VER;FLO";S
græker;SAM;S
grænse;SAM;S
græsenke;"SAM;KOG";S
græskar;FLO;S
græsspire;FLO;S
grævling;FAU;S
grøde;"FLO;KRO";S
grøft;VER;S
grønirisk;FAU;S
grønsvær;FAU;S
gudshus;REL;S
guldværk;HÅN;S
gunst;FØL;S
gylden;BES;S
gylle;FLO;S
gynter;KRO;S
gæk;HÅN;S
gækkeri;HAN;S
gær;FLO;S
gæstehus;SAM;S
gøgelspil;HAN;S
gøgl;HAN;S
gøgler;SAM;S
gåseørn;FAU;S
hage;"HÅN;MIL";S
hagebøsse;MIL;S
hakke;HÅN;S
hakkebræt;"HUS;MUS";S
hakkelse;FLO;S
halle;SAM;S
hamme;HÅN;S
hamp;FLO;S
handel;HAN;S
handling;HAN;S
handske;BEK;S
hank;HÅN;S
hanrej;SLÆ;S
hans;SAM;S
hansa;SAM;S
harnisk;MIL;S
harpiks;FLO;S
harrild;FLO;S
hartkorn;FLO;S
harts;FLO;S
has;FLO;S
hase;KRO;S
hast;BEV;S
hattestafferer;HÅN;S
havelværk;MIL;S
hedevig;GAS;S
heggel;FLO;S
hegle;FLO;S
helled;SAM;S
hellegat;SØF;S
hellighed;REL;S
helsfyr;REL;S
helt;SAM;S
hemmelighed;KOG;S
henfart;"BEV;REL";S
herberg;SAM;S
herd;"HUS;HÅN";S
herkomst;SLÆ;S
herlighed;FØL;S
hermelin;BEK;S
herold;SAM;S
herre;SAM;S
herskab;SAM;S
hertug;SAM;S
hidsehund;MIL;S
himmelstreg;VER;S
hinderhold;MIL;S
hingst;FAU;S
hippokras;GAS;S
hirse;FLO;S
hjerteslag;KRO;S
hjælmetegn;SAM;S
hjælper;SAM;S
hob;KVA;S
hof;SAM;S
hoffart;HAN;S
hoffourer;SAM;S
hoffærd;HAN;S
hoffærdighed;HAN;S
hofte;KRO;S
hold;HAN;S
holk;SØF;S
homej;MIL;S
hore;SAM;S
horesøn;SLÆ;S
hospital;SAM;S
hov;SAM;S
hovedskib;SØF;S
hovedstol;BES;S
hovmand;SAM;S
hovmester;"SAM;SØF";S
hovmod;FØL;S
huj;BEV;S
huk;"RUM;SØF";S
huld;FØL;S
hulsten;HÅN;S
hulurt;FLO;S
humpel;"GAS;SØF";S
hundestejle;FAU;S
hungertitte;FAU;S
husbjælke;HUS;S
husblas;GAS;S
husfrue;HUS;S
husgesinde;HUS;S
husk;HAN;S
hvalrav;FAU;S
hvalspæk;FAU;S
hverdag;TID;S
hvergarn;HÅN;S
hverv;SAM;S
hvidesøndag;REL;S
hvilling;FAU;S
hylle;BEK;S
hyllike;BEK;S
hylster;HÅN;S
hyre;"BES;SØF";S
hyrling;SAM;S
hysken;HUS;S
hyssing;"HÅN;SØF";S
hæg;HAN;S
hægte;HÅN;S
hægte;JUR;S
hælding;SØF;S
hælvt;KVA;S
hængsel;HÅN;S
høfde;VER;S
højtid;REL;S
høker;HÅN;S
hønnike;FAU;S
høns;FAU;S
hørsvinger;HÅN;S
høved;FAU;S
høvedsmand;"SAM;MIL";S
høvl;HÅN;S
håb;FØL;S
hån;FØL;S
håndklove;JUR;S
hånhed;FØL;S
igle;FAU;S
igt;KRO;S
il;BEV;S
ilder;FAU;S
indbildning;KOG;S
inddrift;FAU;S
inderste;SAM;S
indhold;RUM;S
indholt;SØF;S
indkomst;BES;S
indlager;JUR;S
indpas;BEV;S
indsigelse;JUR;S
indtog;HAN;S
indtrang;HAN;S
indvåner;SAM;S
ingefær;FLO;S
irisk;FAU;S
isben;BEK;S
isenkram;HÅN;S
isop;FLO;S
ister;GAS;S
iver;FØL;S
jabroder;SAM;S
jagt;MIL;S
jaherre;SAM;S
jakke;BEK;S
jammer;FØL;S
jammerdal;FØL;S
jennik;REL;S
jolle;SØF;S
jomfru;SAM;S
jordrøg;FLO;S
junge;SAM;S
jungelin;SAM;S
junker;SAM;S
juvelér;HÅN;S
jæger;MIL;S
jægt;KRO;S
jærnurt;FLO;S
jøde;SAM;S
kabe;SØF;S
kabel;SØF;S
kabeltegn;SØF;S
kabys;SØF;S
kag;JUR;S
kahyt;SØF;S
kakkel;HUS;S
kalent;REL;S
kalk;HÅN;S
kalkun;FAU;S
kallun;GAS;S
kalvedans;GAS;S
kammerdug;BEK;S
kamp;HAN;S
kanel;GAS;S
kanin;FAU;S
kans;"KOG;HAN";S
kant;RUM;S
kanut;SAM;S
kapel;REL;S
kapel;HÅN;S
kappe;BEK;S
kapperøllike;BEK;S
kaprun;BEK;S
kapun;FAU;S
