jomfru	sex;asl;bot;erh;mad
junker	his
jæger	jag;etn;mil
kabys	ski
kag	
kakkel	ark
kalkun	zoo
kamp	mil;spo;erh
kanin	zoo;spo
karpe	zoo
karrig	psy
karse	bot;mad
karte	håa
karusse	zoo
kegle	mat;trf;spi;typ
kende	
kigge	
kile	hån;tøj
kim	bot;bio
kiming	søf
kindbakke	zoo
kip	byt
kippe	mad
kirsebær	bot
kives	kom
klage	
klage	kom
klam	nat
klamme	spr;tek
klap	ana
klar	opt;kom
klat	zoo;spo
klatre	bot
klavre	
klejnsmed	sme
klenodie	
kleppert	
klid	gas
klinge	aku;msk;spr
klinke	byg
klint	gel
klippe	gel
klode	ast;ana
klogelig	
kludre	
klæbe	
kløft	gel;ana
kløver	bot
kneb	
knebel	sme
knebel	kri
knibe	
knibe	spi;typ;fyo
knibsk	
kniple	håa
knippel	pot;våb
knob	søf;mål
knogle	ana
knægt	spi
koble	tek;ele;fam;fri;tra
koffardi	søf
kogge	skb
kogle	
kop	bol;mur
kort	mat;tøj;kom
krable	
kragejolle	skb
kram	
krampe	med
krampe	hån
kran	tek;sun
krank	
krans	bot
krave	tøj
kridt	gel;und;øko
krig	mil;spi;rel;pol
kro	gas
krone	ban;øko;kon;bot;tan;ska
krone	kon
krudt	våb;mil
krukke	bol
krum	fys;ana
krumholt	ski
krumme	bag
krus	bol;drk
kruse	frs
krybbe	lan
krydder	bag;ana;tek
krydderi	gas
kræft	med
kræge	bot
kræmmer	han
krænke	psy;sex;jur
krølle	ana;spo
kråse	zoo
kube	lan
kuf	skb
kule	lan
kule	
kumme	
kummer	psy
kummerlig	øko
kumpan	
kundskab	
kunst	kun;vid
kunstner	kun;kul
kurv	fri;han;bot;spo
kvalm	kom
kvittere	fyo
kvæde	bot
kvæste	med;psy
kysk	sex
kæbe	ana;hån
kæde	han;kem;dan;spo;håa
kæmner	oad
kætter	rel
kønrøg	hån
kønrøg	hån
kørvel	bot
lampe	bol;tek
lange	soc
langs	
langsom	fot
langvarig	
last	tra;ski
lejde	
lejlighed	bol
lempe	
lempe	
len	his;sam
letfærdig	
lette	fys;nat;kri;met;zoo;hel
liflig	
ligervis	
lignelse	
lirekasse	msk
lispund	mål
los	zoo
love	
luft	met;ana;kem;rad;fly
luge	hav
lugt	kem
lunte	kem
lunte	
lure	
lut	msk
lutre	mtl;psy
lutre	mtl;psy
lutter	
lygte	trf;tea
lyksalig	
lystre	
lægte	tøm
lække	
lækker	mad;fys;sex;hyg
læske	drk;hån
løfte	
løje	met
mag	
mage	
magelig	
magt	pol
male	kun;hyg
malle	zoo
mandel	bot;med
mane	rel
manglebræt	bol
marekat	zoo
marsk	gel
marskal	mil
marterpæl	his
mast	ski;ele
mat	søf;mil
medisterpølse	mad
meje	lan
mejer	zoo
melde	kom;spi;kri
men	spr
menig	sam
middel	øko
middel	
middelmådig	
misdæder	kri
mishage	
mishandle	
mitte	zoo
mos	gas
mulig	
mundlæder	ana
mundtlig	spr;und
musling	zoo;gas
myndig	jur
mytteri	søf
mæfikke	
mægle	sam
mælde	bot
mænge	scl
mønje	mal
mønster	håa
mønt	ban
måde	spr;kom
mådelig	und
måltid	etn;mad
måske	
naboerske	
narv	tin
nattergal	zoo
navnlig	
nederst	
nellike	bot;gas
nemlig	
nid	psy
nidkær	
nikke	spo
niøje	zoo
nok	
noksom	
næsvis	psy
nødtørft	zoo
nøgtern	
nøjagtig	
nåd	ski
ofre	rel
ok	
oldefar	fam
oprigtig	
oprørsk	
opsigt	
orden	hyg;bio;rel;okk;sam
ordne	
orlog	mil
overantvorde	
overdådig	
overens	
overflod	mål
overflødig	
overhaling	trf
overhørig	
overhånd	spo
overlegen	psy
overlægge	
overmåde	
overslag	spo
overslag	spo
overtyde	psy
overveje	
pak	sam
pakke	oad
pakke	søf
pakkenelliker	
pande	gas
panel	byt;sam;tek;aut;tøj;psy
panser	mil;pot
pant	jur;øko;han
par	zoo
paulun	
pave	rel
pebling	und
pejs	bol
pels	zoo;tøj;nyd
pensel	mal
perm	bog
perse	mad
perse	mad
persille	bot
pibe	nyd;tek;msk
pibe	spr
pil	våb;bot;und
pille	med
pille	
pisse	
pjalt	tøj;psy
plade	msk;gas;aut;spi;fam;fot
pladre	kom
planke	byt;spo
plante	bot
plante	bot
plat	
plattenslager	
plejl	lan
pligt	
pligtig	
pludselig	
plump	
plump	psy
plyndre	
pløk	
pode	
pode	bot;bik;med
pokker	
pors	bot
post	
pote	zoo;ana
potte	bol
pragt	
pram	skb;skm
prange	
prange	
pren	håa
prikke	erh;fyo
prikle	hav
prop	ele;ana;hel;psy
prunk	
pruste	kom
prutte	han
puge	øko
pukkel	zoo;fyo;gel
puld	tøj
pulver	
puste	hån;spr;spi;zoo;fyo
pægl	mål
pølle	bol
pønse	
rack	
rage	
rakke	sam;kom;rej
ram	
ramme	
ramme	
ramme	
ranke	bot;bol
rap	spr
rar	
rast	
rat	tra
reberbane	hån
red	hvn
redde	spo
rede	
redelig	
redskab	hån
regne	mat;mål
regnskab	erh
regnskab	erh
rejnfan	bot
rejse	rej
rejse	rej
rende	
rente	ban;øko
retfærdig	rel
ri	skr
ribbe	bot;bol;ark;spo;hån
rigtig	
rimpe	håa
ringe	øko
rist	bol
rist	
ritmester	mil
rode	oad
roe	bot
rokke	zoo
rotte	zoo
rov	kri;zoo
ru	ana
rude	gla;ark
rude	bot
ruelse	psy
ruf	ski
rulle	gas
rulle	søf;øko;gas;nyd;spr;kri;bol;mad
rund	
rundholt	ski
ruste	mil
rygtes	kom
rytter	spo;mil
rytteri	mil
ræling	ski
røffel	
røllike	bot
rørdrum	zoo
rådhus	oad
sagte	
sagtmodig	psy
salig	rel
salve	apo
samle	hån;gas
samvittighed	psy
seddel	ban
segl	lan
segl	his
sejlads	søf
sejlgarn	tin
sevenbom	bot
sigte	våb
sigte	gas
sikker	
sind	psy
sindig	psy
sindrig	
sinkadusen	
sinkadusen	
sisken	zoo
skab	bol
skalmeje	msk
skamfere	
skanse	mil
skarlagen	tøj
skarntyde	bot
ske	
skiffer	gel
skikkelse	fys;ana
skildvagt	mil
skilt	
skimmel	bot
skind	ana;mad
skipper	søf;spo
skive	kom;msk
skonrog	mad
skorsten	byt;mas;øko;hel
skot	ski
skridt	zoo;ana
skrift	lit;rel;spr;typ;gra
skrin	
skrot	
skrue	hån;ski;gas;spo;vær;psy
skrædder	skr
skrå	tea
skråtobak	nyd
skubbe	
skude	skb
skulder	ana;zoo;tøj;med
skule	
skulpe	bot
skure	hyg
skutte	bio
sky	psy
skyldig	jur;psy;øko
skyldner	øko
skyts	våb
skytte	våb;mil;spo;asl
skældsord	spr
skælm	psy
skænde	kom;sex
skændig	
skænke	fam
skærm	fje;edb;tek;bol;bot;fly;fri
skærmydsel	scl
skærv	øko
skørbug	med
