lemma;tags;ordklasse
forhærge;NA;V
forhøje;music;V
forhøre;NA;V
forhåbe;NA;V
forhåne;NA;V
forjage;NA;V
forkaste;NA;V
forkere;NA;V
forklage;NA;V
forklare;NA;V
forklejne;NA;V
forklikke;NA;V
forklæde;NA;V
forknytte;NA;V
forkomme;NA;V
forkorte;anchor;V
forkoste;NA;V
forkrybe;NA;V
forkrænke;NA;V
forkulde;NA;V
forkvikke;NA;V
forkynde;jur;V
forkøle;hel;V
forlade;NA;V
forlange;NA;V
forlaste;anchor;V
forlede;NA;V
forlene;NA;V
forlette;NA;V
forlide;NA;V
forlige;NA;V
forligge;anchor;V
forligne;NA;V
forlise;anchor;V
forlove;NA;V
forlyde;NA;V
forlyste;NA;V
forlægge;trf;V
forlænge;mat;V
forløbe;NA;V
forløse;NA;V
formale;NA;V
formaledide;NA;V
formane;NA;V
formaste;NA;V
forme;NA;V
formelde;NA;V
formene;NA;V
formere;bio;V
formidle;kom;V
formindre;NA;V
formode;NA;V
formyrde;NA;V
formænge;NA;V
formærke;NA;V
formønte;NA;V
formå;NA;V
fornedre;psy;V
fornedrige;NA;V
fornemme;NA;V
forny;NA;V
fornægte;spades;V
fornøje;psy;V
fororde;NA;V
forpagte;erh;V
forpleje;NA;V
forpligte;jur;V
forraske;NA;V
forregne;mat;V
forrente;"ban;dri";V
forrette;NA;V
forrige;NA;V
forringe;NA;V
forrykke;NA;V
forråde;pol;V
forsage;"spades;swords";V
forsamle;NA;V
forse;anchor;V
forsegle;NA;V
forsende;NA;V
forsidde;NA;V
forsige;NA;V
forsikre;anchor;V
forskabe;NA;V
forskaffe;NA;V
forskanse;swords;V
forskave;NA;V
forskelle;NA;V
forskikke;NA;V
forskrive;NA;V
forskrække;NA;V
forskyde;NA;V
forskylde;jur;V
forskære;NA;V
forskåne;NA;V
forslide;NA;V
forslinge;NA;V
forsluge;NA;V
forslå;NA;V
forsmelte;wheel;V
forsmægte;NA;V
forsmå;NA;V
forsnilde;NA;V
forsone;NA;V
forspilde;NA;V
forspille;NA;V
forsplitte;NA;V
forspore;NA;V
forsprede;NA;V
forstikke;spades;V
forstive;NA;V
forstokke;NA;V
forstrække;NA;V
forstrø;s;V
forstykke;NA;V
forstyrre;fys;V
forstå;NA;V
forsure;NA;V
forsvage;comet;V
forsvare;"mil;spo;jur";V
forsvige;NA;V
forsvinde;NA;V
forsvække;NA;V
forsværge;NA;V
forsætte;"swords;anchor";V
forsøge;NA;V
forsømme;und;V
fortgå;NA;V
fortinge;NA;V
fortinne;NA;V
fortjene;NA;V
fortolke;NA;V
fortone;anchor;V
fortove;NA;V
fortro;NA;V
fortryde;NA;V
fortrykke;NA;V
fortrænge;psy;V
fortsætte;NA;V
fortuske;NA;V
fortvivle;NA;V
fortykke;NA;V
fortælle;"kom;lit;kun";V
fortænke;NA;V
fortære;NA;V
fortøje;anchor;V
fortørne;NA;V
fortørre;NA;V
fortøve;NA;V
forunde;NA;V
forundre;NA;V
forurene;"mij;hyg";V
forurette;NA;V
forvagte;NA;V
forvandle;NA;V
forvare;psy;V
forveksle;NA;V
forvende;NA;V
forvide;NA;V
forvilde;"bot;zoo";V
forvinde;NA;V
forvirke;NA;V
forvirre;NA;V
forvise;NA;V
forvisse;NA;V
forvissere;NA;V
forældre;NA;V
forære;NA;V
forårsage;NA;V
fremture;NA;V
fri;fam;V
fromme;NA;V
frygte;psy;V
frynse;"tin;oad";V
frådse;NA;V
fugte;hyg;V
fuldbringe;NA;V
fuldbyrde;NA;V
fulddrive;NA;V
fuldende;NA;V
fuldkomme;NA;V
fuldmægtige;NA;V
fundere;NA;V
funke;NA;V
fure;anchor;V
fyre;"erh;sex";V
fyre;NA;V
fægte;spo;V
fæstne;NA;V
føje;NA;V
føle;"fyo;spo;psy";V
gabe;NA;V
galme;NA;V
ganes;NA;V
ganne;NA;V
gedulde;NA;V
gelede;NA;V
gendrive;NA;V
geråde;NA;V
gie;NA;V
gisle;NA;V
gisse;anchor;V
give;"anchor;music";V
glide;NA;V
glinse;NA;V
glise;NA;V
glube;NA;V
gnide;NA;V
gnægge;NA;V
grabbe;NA;V
granske;NA;V
gritte;NA;V
grove;NA;V
grue;NA;V
grunde;NA;V
grutte;lan;V
græse;NA;V
gurgle;"hyg;aku;drk";V
gække;NA;V
gælde;NA;V
gøgle;NA;V
gøre;"anchor;spades;comet;mercury;swords";V
gørtle;NA;V
hage;NA;V
hakke;NA;V
hale;NA;V
halvere;mat;V
handle;mercury;V
haste;NA;V
hegle;NA;V
hemme;NA;V
henbringe;NA;V
henlægge;NA;V
henstille;NA;V
herberge;NA;V
herske;NA;V
hidse;psy;V
hie;NA;V
hige;NA;V
hilde;wheel;V
himle;NA;V
hindre;NA;V
hinke;NA;V
hjemsøge;NA;V
hobe;NA;V
hovere;NA;V
hovmode;comet;V
husere;NA;V
hutle;NA;V
hverve;NA;V
hvidte;byt;V
hykle;NA;V
hylde;NA;V
hyle;NA;V
hyppe;lan;V
hyre;NA;V
hæge;NA;V
hægte;NA;V
hælde;NA;V
hæle;jur;V
hærpe;NA;V
hønse;anchor;V
høvle;"vær;mad;tøm";V
håbe;NA;V
håndhæve;jur;V
håndtere;NA;V
ile;NA;V
indbilde;NA;V
indblæse;NA;V
indbringe;swords;V
inddrive;NA;V
indeholde;NA;V
indforlive;NA;V
indlade;NA;V
indlede;NA;V
indlive;NA;V
indlægge;"wheel;anchor;comet";V
indløse;"mercury;comet";V
indmane;NA;V
indprente;NA;V
indrumme;NA;V
indsige;NA;V
indslå;swords;V
indstyrte;NA;V
indtræde;NA;V
indtrække;wheel;V
indvirke;NA;V
indvise;NA;V
indvælde;NA;V
irre;NA;V
isige;NA;V
ivre;psy;V
jage;"zoo;jag";V
jagte;NA;V
jamre;NA;V
kagle;NA;V
kalde;spades;V
kape;NA;V
kappe;NA;V
kapune;NA;V
kapunere;NA;V
karde;NA;V
karte;NA;V
karve;NA;V
kejse;NA;V
kige;NA;V
kigge;NA;V
kile;NA;V
kimme;NA;V
kippe;NA;V
kive;comet;V
kives;kom;V
klage;NA;V
klakke;NA;V
klatre;bot;V
klatte;NA;V
klavre;NA;V
klemme;NA;V
klimme;NA;V
klinge;"aku;msk;spr";V
klinke;NA;V
klistre;NA;V
kloppe;wheel;V
kludre;NA;V
klukke;NA;V
klæbe;NA;V
klække;NA;V
kneje;NA;V
knibe;NA;V
kniple;håa;V
knirske;NA;V
knistre;NA;V
koble;"tek;ele;fam;fri;tra";V
koble;NA;V
koge;NA;V
kogle;NA;V
kontrafeje;NA;V
koppe;NA;V
korte;anchor;V
koste;NA;V
krable;NA;V
kradse;mercury;V
krage;NA;V
kreje;NA;V
kridte;NA;V
krige;NA;V
kriske;NA;V
krone;NA;V
kronne;NA;V
krumme;NA;V
kruse;NA;V
kryde;NA;V
krydse;"anchor;wheel;mercury";V
krympe;wheel;V
krænke;"psy;sex;jur";V
krøgle;NA;V
krøje;NA;V
krølle;NA;V
kundskabe;NA;V
kure;NA;V
kvabbe;NA;V
kvale;NA;V
kvase;NA;V
kvinkelere;NA;V
kvitte;NA;V
kvittere;fyo;V
kvoppe;NA;V
kvæge;NA;V
kvæste;"med;psy";V
kytte;NA;V
kæmpe;NA;V
kærve;NA;V
kævle;NA;V
købslå;NA;V
køre;NA;V
lange;NA;V
lappe;NA;V
laste;anchor;V
lavere;"anchor;mercury;spades";V
ledsage;mercury;V
lejre;NA;V
lempe;NA;V
lente;NA;V
lette;"fys;nat;kri;met;zoo;hel";V
levere;"mercury;swords";V
levre;NA;V
lide;NA;V
ligne;NA;V
likke;NA;V
lire;NA;V
liste;NA;V
lodde;anchor;V
lodde;NA;V
losse;anchor;V
love;NA;V
luge;NA;V
lulle;NA;V
lunte;NA;V
lunte;NA;V
lure;NA;V
luske;NA;V
lutre;"mtl;psy";V
lygte;NA;V
lykkes;NA;V
lystre;NA;V
lægge;"wheel;anchor;spades;swords";V
lægte;NA;V
lække;NA;V
lære;NA;V
læske;"drk;hån";V
løje;met;V
mage;NA;V
magre;NA;V
male;"kun;hyg";V
malte;NA;V
mane;rel;V
mangle;NA;V
martre;NA;V
meje;lan;V
melde;"kom;spi;kri";V
mene;NA;V
mere;NA;V
midle;NA;V
mishage;NA;V
mishandle;NA;V
misprise;NA;V
mumle;NA;V
munke;NA;V
munkle;NA;V
murmle;NA;V
mægle;sam;V
mægte;NA;V
mægtige;NA;V
mænge;scl;V
mæske;NA;V
møje;NA;V
mønstre;"swords;anchor";V
måde;NA;V
narre;NA;V
neste;NA;V
nette;NA;V
nide;NA;V
nikke;spo;V
nitte;wheel;V
nytte;NA;V
nære;wheel;V
nødsage;NA;V
nødtrængende;NA;V
nåde;NA;V
ofre;rel;V
ogne;NA;V
oldes;NA;V
ombære;NA;V
omfange;NA;V
omkomme;NA;V
omskue;NA;V
opbyde;NA;V
opdugge;NA;V
opgribe;NA;V
ophæve;swords;V
ophøre;NA;V
opklappe;NA;V
opklare;anchor;V
opklemme;NA;V
opkomme;NA;V
opmudse;NA;V
oppebære;NA;V
oprippe;NA;V
opru;wheel;V
oprydde;NA;V
oprømme;"mercury;wheel";V
opsidde;NA;V
opsige;mercury;V
opskibe;NA;V
opskrive;mercury;V
opskørte;NA;V
opslå;"spades;anchor";V
opsætte;anchor;V
opvarte;NA;V
opæske;NA;V
ordele;NA;V
ordere;NA;V
ordne;NA;V
ordre;NA;V
orlove;NA;V
overantvorde;NA;V
overbevise;NA;V
overblive;NA;V
overbuldre;NA;V
overdigte;NA;V
overdrage;NA;V
overhale;anchor;V
overhøre;NA;V
overile;NA;V
overlevere;swords;V
overligge;mercury;V
overlægge;NA;V
overråbe;NA;V
oversejle;NA;V
oversidde;NA;V
overskrive;NA;V
overslå;NA;V
overstride;NA;V
oversætte;NA;V
overtaste;NA;V
overtræde;NA;V
overtrække;NA;V
overtyde;psy;V
overveje;NA;V
overvinde;NA;V
overvælde;NA;V
padre;NA;V
pakke;oad;V
pante;NA;V
pappe;NA;V
parte;NA;V
passe;NA;V
pejle;anchor;V
perse;NA;V
pibe;NA;V
pippe;NA;V
pisse;NA;V
pladre;kom;V
plage;NA;V
plakke;swords;V
plante;NA;V
plege;NA;V
pleje;wheel;V
pligte;NA;V
plinke;NA;V
pludre;NA;V
plustre;NA;V
plyndre;NA;V
pode;NA;V
prakke;NA;V
praktisere;NA;V
prale;NA;V
prampere;NA;V
prange;NA;V
prange;NA;V
prene;NA;V
prente;NA;V
prikke;"erh;fyo";V
prikle;hav;V
prime;NA;V
prise;NA;V
pruste;kom;V
prutte;han;V
pryne;NA;V
prøve;NA;V
puge;øko;V
pukke;NA;V
pulre;NA;V
pulverisere;NA;V
purgere;NA;V
purre;anchor;V
puste;"hån;spr;spi;zoo;fyo";V
pynte;NA;V
pønse;NA;V
påskyde;NA;V
rage;NA;V
rakke;"sam;kom;rej";V
ramme;NA;V
ransone;NA;V
rappe;NA;V
rase;NA;V
raste;NA;V
redde;spo;V
rede;NA;V
regne;"mat;mål";V
regnere;NA;V
rejse;NA;V
remme;NA;V
rente;NA;V
reppe;NA;V
retfærdige;NA;V
revle;NA;V
ribbe;NA;V
rigte;NA;V
rime;NA;V
rimpe;håa;V
riste;NA;V
ritte;NA;V
rive;NA;V
ro;NA;V
rostere;NA;V
ru;NA;V
rude;"gla;ark";V
rue;NA;V
rue;NA;V
ruffe;NA;V
rulle;NA;V
rumstere;NA;V
ruse;NA;V
ruske;NA;V
ruste;mil;V
rutte;NA;V
rygtes;kom;V
ryspe;NA;V
rækkje;NA;V
røde;NA;V
røje;NA;V
røve;NA;V
rådslå;NA;V
sabbe;NA;V
saffe;NA;V
sakke;NA;V
salve;NA;V
samle;"hån;gas";V
savle;NA;V
segle;NA;V
segne;NA;V
selle;NA;V
si;NA;V
sibe;NA;V
sikre;swords;V
sire;music;V
sisse;NA;V
sive;NA;V
skaffe;NA;V
skamfere;NA;V
skamflikke;NA;V
skamfære;NA;V
skanse;NA;V
skanse;NA;V
skare;NA;V
skarre;NA;V
skatte;NA;V
skatte;NA;V
skave;NA;V
ske;NA;V
skele;NA;V
skelle;NA;V
skempte;NA;V
skibe;"mercury;anchor";V
skide;NA;V
skikke;NA;V
skildre;NA;V
skinde;NA;V
skive;NA;V
skovle;anchor;V
skrige;NA;V
skrikke;NA;V
skrive;"mercury;quad;music";V
skrode;NA;V
skrubbe;NA;V
skrue;NA;V
skrumpe;NA;V
skryde;NA;V
skrå;NA;V
skubbe;NA;V
skudde;comet;V
skudre;NA;V
skuffe;NA;V
skuffe;NA;V
skufle;NA;V
skule;NA;V
skulpe;bot;V
skumme;NA;V
skure;hyg;V
skurre;NA;V
skutte;bio;V
sky;NA;V
skylde;NA;V
skytte;NA;V
skælde;NA;V
skænde;"kom;sex";V
skænke;fam;V
skærme;NA;V
skærmydse;NA;V
skærte;NA;V
skærve;NA;V
skølpe;anchor;V
skøre;NA;V
skørte;anchor;V
skåne;NA;V
slabbe;NA;V
sladre;kom;V
slage;NA;V
slagte;NA;V
slakke;anchor;V
slapampe;NA;V
slappe;NA;V
slebe;NA;V
slemme;NA;V
slibe;hån;V
slikke;NA;V
slire;anchor;V
sluge;NA;V
slumme;NA;V
slumpe;NA;V
slumre;NA;V
slunke;NA;V
slutte;"anchor;swords;wheel;mercury";V
slynge;NA;V
slæbe;jur;V
slænge;NA;V
sløjfe;NA;V
slømpe;NA;V
sløse;NA;V
smage;NA;V
smakke;anchor;V
smalle;NA;V
smitte;NA;V
smukke;NA;V
smykke;NA;V
smæde;psy;V
smægte;psy;V
smæle;NA;V
smøge;NA;V
smøre;wheel;V
snakke;NA;V
snappe;"kom;zoo";V
snave;NA;V
snedkre;NA;V
snorke;NA;V
snue;NA;V
snuppe;NA;V
snurre;NA;V
snyde;spades;V
snykke;NA;V
sone;NA;V
spa;NA;V
spadsere;NA;V
spede;NA;V
spejde;NA;V
spelte;NA;V
spidde;NA;V
spide;NA;V
spidse;NA;V
spile;anchor;V
spille;"spo;msk;kun;tea;kul;fri;spi;sex;øko;tek";V
spise;NA;V
splejse;"søf;bio;øko;fam";V
splide;NA;V
splitre;NA;V
spo;NA;V
spode;NA;V
spole;NA;V
spore;NA;V
sprede;"hyg;fys;ana";V
sprude;NA;V
sprække;NA;V
sprænge;wheel;V
spunde;NA;V
spy;NA;V
spække;anchor;V
spænde;NA;V
spærre;mercury;V
spøge;NA;V
spøle;NA;V
spåne;NA;V
stable;NA;V
staffere;"hån;håa";V
stage;anchor;V
stalde;NA;V
stalle;NA;V
stampe;NA;V
stelpe;NA;V
stemme;NA;V
stempe;NA;V
stemple;NA;V
stene;NA;V
sterve;NA;V
stifte;NA;V
stigte;NA;V
stikke;"zoo;med;håa;tøj;spi;søf;gas;kom";V
stille;NA;V
stime;NA;V
stinke;NA;V
stive;anchor;V
stodre;NA;V
stoppe;"nyd;med;håa";V
stove;NA;V
straffe;jur;V
strejfe;psy;V
stride;s;V
strige;NA;V
strikke;NA;V
strinte;zoo;V
strippe;NA;V
stræbe;NA;V
strække;"hyg;spo";V
stræve;NA;V
strøve;NA;V
stube;NA;V
studse;spo;V
stumpe;tøj;V
stumple;NA;V
stunde;NA;V
stuve;NA;V
stuve;NA;V
stuve;NA;V
stylpe;NA;V
styre;NA;V
styrre;NA;V
styrte;NA;V
styrtekule;NA;V
styve;NA;V
støtte;NA;V
støve;"hyg;jag";V
stålde;NA;V
stålde;NA;V
sukte;NA;V
summe;NA;V
sunde;NA;V
surmule;NA;V
surre;NA;V
svage;NA;V
svanse;NA;V
svime;NA;V
svimeslå;NA;V
svimle;NA;V
svinge;"fys;dan";V
svire;drk;V
svogre;NA;V
svække;hel;V
svænge;NA;V
svære;NA;V
sværme;NA;V
sværte;NA;V
svæve;music;V
sylte;NA;V
syndige;NA;V
sætje;NA;V
søbe;NA;V
sømme;NA;V
såte;NA;V
tadre;NA;V
takle;"søf;ski";V
taste;NA;V
tele;NA;V
teme;NA;V
tempere;NA;V
temperere;music;V
tere;NA;V
tese;spades;V
tilbehøre;NA;V
tilberede;NA;V
tilbeskære;NA;V
tilbetro;NA;V
tilbringe;NA;V
tildele;NA;V
tildrage;NA;V
