lemma;tags
ebbe;NA
ebe;NA
eddike;NA
edsvoren;NA
effen;NA
efterdi;NA
efterdrage;NA
efterhaanden;NA
efterretning;NA
eftersom;NA
ege;NA
egentlig;NA
egt;NA
ejendom;"sam;jur"
ejland;NA
elende;NA
elendig;"fyo;psy"
elfenben;NA
elm;"flower;comet"
embedsmand;NA
ende;"comet;anchor"
endelig;"music;swords"
endesked;NA
endig;NA
endragt;NA
endrægtig;NA
ene;NA
enhjørning;"comet;swords"
enig;NA
enke;NA
enkel;NA
enlig;NA
ens;NA
enspænder;NA
entlangs;NA
entre;anchor
entride;NA
entvige;NA
erbarme;NA
erfare;NA
-eri;NA
erkende;NA
erlægge;NA
ernære;NA
erobre;NA
erstatte;jur
ervise;NA
es;"spi;spo"
eskadre;"anchor;swords"
esping;NA
esse;"comet;s"
etmål;søf
etmaal;anchor
even;anchor
eventyr;NA
eventyre;NA
evert;skb
evig;NA
façon;NA
fadder;rel
fadderskab;NA
fadderske;NA
fade;NA
fading;NA
fagte;comet
faldbom;NA
falk;zoo
falkeleje;NA
falkoner;NA
falkonet;NA
fals;NA
falsk;"kri;nat;msk"
falske;NA
falskelig;NA
falskner;kri
famle;comet
fanden;NA
fane;"msk;pap;edb;mil"
fange;NA
fangen;NA
fangst;fsk
fanke;NA
fant;NA
fare;NA
farebog;NA
farlig;spo
farlighed;NA
farsot;NA
fart;anchor
fartøj;NA
farve;"mal;gas;sam;ana;pol;spi"
farvelade;kun
farver;NA
fastelavn;rel
fatte;swords
feber;NA
fedel;music
fedtegrever;gas
fejde;NA
feje;"hyg;zoo"
fejefyr;NA
fejl;anchor
fejre;NA
fejt;NA
felt;NA
fenin;NA
fenne;NA
fennikel;flower
ferdendel;NA
ferendel;NA
fernis;mal
fernisere;NA
fersk;"mad;nat;psy"
ferske;wheel
fetalje;NA
fetaljebroder;NA
fibel;NA
figen;flower
fikke;NA
fil;hån
file;anchor
filt;tin
fimre;NA
finke;"zoo;gas"
finkeljokum;NA
finker;NA
finne;NA
fiol;msk
fire;hån
firk;spades
fistel;NA
fjas;NA
fjerdendel;NA
fjerendel;NA
fjældfras;NA
fjæs;NA
flab;"zoo;ana;psy"
flage;NA
flagermus;zoo
flagspætte;zoo
flak;gel
flams;NA
flamsk;NA
fled;NA
flid;NA
flint;NA
flintsten;NA
flise;NA
flitter;mercury
flittig;NA
flod;"geg;typ"
flok;NA
floksilke;tin
flomme;ana
florere;NA
flos;NA
flugt;swords
fluks;NA
flunke;NA
flunkende;NA
fly;NA
flygte;NA
flygtig;kem
flæb;NA
flæk;NA
flække;sam
fløj;"pol;spo;ark"
fløjl;tin
fløjte;msk
flaad;comet
fod;"comet;swords"
foder;NA
fodgænger;NA
fodre;anchor
foer;NA
foermand;NA
foerværk;NA
foged;jur
fogedi;NA
fok;anchor
fold;NA
-foldig;comet
for-;NA
foragt;psy
foragte;psy
forandre;anchor
forarbejde;"hån;psy"
forarge;psy
forarme;NA
forbande;NA
forbandt;"byg;mur"
forbarme;NA
forbavse;NA
forbede;NA
forbeding;NA
forbedre;NA
forbeholde;NA
forberge;NA
forbi;NA
forbie;NA
forbinde;NA
forbistre;NA
forbistret;NA
forbitre;NA
forbjude;NA
forblinde;hel
forblive;NA
forblomme;NA
forblommet;NA
forblænde;NA
forbløde;med
forbløffe;NA
forborg;NA
forborgen;NA
forborget;NA
forbrede;NA
forbryde;"kri;jur"
forbrænde;wheel
forbud;NA
forbulne;NA
forbund;pol
forbundt;NA
forbyde;NA
forbygge;anchor
forbytte;NA
fordel;spo
fordelagtig;NA
fordele;NA
fordemme;NA
forderlig;NA
fordrag;NA
fordrage;NA
fordre;spades
fordrikke;NA
fordriste;NA
fordrive;NA
fordrukken;drk
fordæk;anchor
fordækt;"swords;spades"
fordærv;NA
fordærve;bik
fordærvelig;NA
fordøje;med
fordømme;"kom;rel"
fordøve;NA
fore;NA
fore-;NA
foreagte;NA
forebilde;NA
forebringe;NA
forefalde;NA
forefinde;NA
foregaa;NA
forehave;NA
forehavende;NA
forekomme;NA
forelægge;NA
forene;NA
forenige;NA
forerre;NA
forese;NA
forestille;NA
forestaa;NA
foresætte;swords
foretage;NA
forfader;"fam;bio"
forfald;NA
forfalde;"ark;øko"
forfalske;NA
forfang;NA
forfange;NA
forfare;anchor
forfaren;NA
forfatte;lit
forfløjen;psy
forfordele;NA
forfragte;"anchor;mercury"
forfriske;"anchor;swords"
forfule;NA
forfylde;NA
forfægte;NA
forfærde;psy
forfærdelig;NA
forfærdige;NA
forføje;NA
forfølge;swords
forføre;NA
forfaa;NA
forgift;NA
forgifte;NA
forgiftig;NA
forgive;spades
forglemme;NA
forgrebs;NA
forgribe;NA
forgrille;NA
forgylde;mtl
forgylden;NA
forgængelig;NA
forgætte;NA
forgæves;NA
forgøre;NA
forgaa;NA
forhade;NA
forhandle;"kom;han"
forhaste;NA
forhindre;NA
forholde;NA
forhore;NA
forhoved;NA
forhugge;NA
forhverve;NA
forhyre;erh
forhæng;bol
forhærde;NA
forhærge;NA
forhøje;music
forhøjning;NA
forhør;NA
forhøre;NA
forhaabe;NA
forhåne;NA
forhaane;NA
forhånlig;NA
forhaanlig;NA
forjage;NA
forkaste;NA
forkastel;NA
forkere;NA
forkering;NA
forkert;NA
forklage;NA
forklare;NA
forklejne;NA
forklikke;NA
forklæde;NA
