lemma;tags;ordklasse
ubegiven;NA;A
ubegribelig;NA;A
ubehjælpsom;NA;A
ubehørlig;NA;A
ubekendt;NA;A
ubekvem;NA;A
ubekymret;NA;A
uberedt;NA;A
uberygtet;NA;A
uberåd;NA;A
ubeskadiget;NA;A
ubeskedelig;NA;A
ubeskeden;NA;A
ubeskrivelig;NA;A
ubeskåret;NA;A
ubesmittet;NA;A
ubestandig;NA;A
ubesværet;NA;A
ubetalt;NA;A
ubetænkelig;NA;A
ubetænkt;NA;A
ubevant;NA;A
ubevaren;NA;A
ubevendt;NA;A
ubevidst;NA;A
ubevægelig;NA;A
ubevåren;NA;A
ubillig;NA;A
ubrødelig;NA;A
ubørlig;NA;A
udeglig;NA;A
udelelig;NA;A
udflugtisk;NA;A
udlændig;NA;A
udlændisk;NA;A
uduelig;NA;A
udvendig;NA;A
udygtig;NA;A
udyldig;NA;A
ueffen;NA;A
uendelig;NA;A
uendig;NA;A
ufejlig;NA;A
uflødig;NA;A
uforbigængelig;NA;A
uforborget;NA;A
ufordragelig;NA;A
ufordægtig;NA;A
uforfaren;NA;A
uforfængelig;NA;A
uforfærdet;NA;A
uforgængelig;NA;A
uforklaget;NA;A
uforlagt;NA;A
uforlignelig;NA;A
uforlovet;NA;A
uforsagt;NA;A
uforseende;NA;A
uforsigtig;NA;A
uforskammet;NA;A
uforskrevet;NA;A
ufortrøden;NA;A
ufortøvet;NA;A
uforvandelig;NA;A
uforvandlig;NA;A
uforvarende;NA;A
uforvindelig;NA;A
uforårsaget;NA;A
uføjelig;NA;A
ugemen;NA;A
uhyr;NA;A
uhyrlig;NA;A
uhørsom;NA;A
ukunstig;NA;A
ulidelig;NA;A
umanerlig;NA;A
umenneskelig;NA;A
umægtug;NA;A
umær;NA;A
umådelig;NA;A
underdan;NA;A
underdanig;NA;A
underdykket;NA;A
underlegen;NA;A
underlig;NA;A
underskedlig;NA;A
underst;NA;A
unyttig;NA;A
unødig;NA;A
upligtig;NA;A
urede;NA;A
uredelig;NA;A
urigtig;NA;A
usindig;NA;A
uskaffet;NA;A
uskyldig;NA;A
usmagelig;NA;A
usmittet;NA;A
ustyr;NA;A
ustyrlig;NA;A
usund;wheel;A
utaknem;NA;A
utemmelig;NA;A
uterig;NA;A
uterlig;NA;A
utoet;NA;A
utugtelig;NA;A
uvittig;NA;A
uædel;NA;A
uægte;mercury;A
vagt;"erh;byg;kom;psy";A
valen;NA;A
vanbyrdig;NA;A
vandelbar;NA;A
vankelbar;NA;A
vanrygtig;NA;A
vanskabt;NA;A
varagtig;comet;A
varig;NA;A
varmgar;NA;A
vederlig;NA;A
vedermodig;NA;A
vederspændig;NA;A
vedervordig;NA;A
veldædig;NA;A
velkommen;NA;A
velladende;NA;A
vellystig;NA;A
velvillig;NA;A
vemodig;NA;A
vendisk;NA;A
verdslig;NA;A
vide;NA;A
viderværdig;NA;A
vidtløftig;NA;A
vigtig;psy;A
villig;"mercury;anchor";A
villiglig;NA;A
vis;NA;A
vitterlig;NA;A
vittig;NA;A
voldelig;NA;A
voldsom;NA;A
vrag;NA;A
vredelig;NA;A
vrinsk;NA;A
vægtig;NA;A
vældig;NA;A
vælig;NA;A
vælsk;NA;A
