"";"lemma";"tags";"ordklasse"
"324";"durik";NA;"S"
"325";"dus";"spades";"S"
"326";"dusin";NA;"S"
"327";"dvaledrik";NA;"S"
"328";"dvælg";"anchor";"S"
"329";"dvælg";"HUS";"S"
"330";"dyring";NA;"S"
"331";"dyst";NA;"S"
"332";"dyvel";"hån";"S"
"333";"dække";NA;"S"
"334";"dæksel";"tek";"S"
"335";"dæle";NA;"S"
"336";"dødike";NA;"S"
"337";"dødslag";NA;"S"
"338";"dørk";"ski";"S"
"339";"dørns";NA;"S"
"340";"dørslag";"swords";"S"
"341";"dåb";"rel";"S"
"342";"dåre";NA;"S"
"343";"dårekiste";"med";"S"
"344";"ebbe";NA;"S"
"345";"eddike";NA;"S"
"346";"efterretning";NA;"S"
"347";"ege";NA;"S"
"348";"egt";NA;"S"
"349";"ejendom";"sam;jur";"S"
"350";"ejland";NA;"S"
"351";"elende";NA;"S"
"352";"elfenben";NA;"S"
"353";"elm";"flower;comet";"S"
"354";"embedsmand";NA;"S"
"355";"endesked";NA;"S"
"356";"endragt";NA;"S"
"357";"enhjørning";"comet;swords";"S"
"358";"enke";NA;"S"
"359";"enspænder";NA;"S"
"360";"es";"spi;spo";"S"
"361";"es";NA;"S"
"362";"eskadre";"anchor;swords";"S"
"363";"esping";NA;"S"
"364";"esse";"comet;s";"S"
"365";"etmål";"søf";"S"
"366";"eventyr";NA;"S"
"367";"evert";"skb";"S"
"368";"façon";NA;"S"
"369";"fadder";"rel";"S"
"370";"fadderskab";NA;"S"
"371";"fadderske";NA;"S"
"372";"fading";NA;"S"
"373";"fagte";"comet";"S"
"374";"faldbom";NA;"S"
"375";"falk";"zoo";"S"
"376";"falkeleje";NA;"S"
"377";"falkoner";NA;"S"
"378";"falkonet";NA;"S"
"379";"fals";NA;"S"
"380";"FALSK";"kri;nat;msk";"S"
"381";"falskner";"kri";"S"
"382";"fanden";NA;"S"
"383";"fane";"msk;pap;edb;mil";"S"
"384";"fange";NA;"S"
"385";"fangst";"fsk";"S"
"386";"fanke";NA;"S"
"387";"fant";NA;"S"
"388";"fare";NA;"S"
"389";"farebog";NA;"S"
"390";"farlighed";NA;"S"
"391";"farsot";NA;"S"
"392";"fart";"anchor";"S"
"393";"fartøj";NA;"S"
"394";"farve";"mal;gas;sam;ana;pol;spi";"S"
"395";"farvelade";"kun";"S"
"396";"farver";NA;"S"
"397";"fastelavn";"rel";"S"
"398";"feber";NA;"S"
"399";"fedel";"music";"S"
"400";"fedtegrever";"gas";"S"
"401";"fejde";NA;"S"
"402";"fejefyr";NA;"S"
"403";"fejl";"anchor";"S"
"404";"felt";NA;"S"
"405";"fenne";NA;"S"
"406";"fennikel";"flower";"S"
"407";"ferdendel";NA;"S"
"408";"fernis";"mal";"S"
"409";"fetalje";NA;"S"
"410";"fetaljebroder";NA;"S"
"411";"fibel";NA;"S"
"412";"figen";"flower";"S"
"413";"fikke";NA;"S"
"414";"fil";"hån";"S"
"415";"filt";"tin";"S"
"416";"finke";"zoo;gas";"S"
"417";"finkeljokum";NA;"S"
"418";"finker";NA;"S"
"419";"finne";NA;"S"
"420";"finne";NA;"S"
"421";"fiol";"msk";"S"
"422";"firk";"spades";"S"
"423";"fistel";NA;"S"
"424";"fjas";NA;"S"
"425";"fjerdendel";NA;"S"
"426";"fjældfras";NA;"S"
"427";"fjæs";NA;"S"
"428";"flab";"zoo;ana;psy";"S"
"429";"flagermus";"zoo";"S"
"430";"flagspætte";"zoo";"S"
"431";"fled";NA;"S"
"432";"flid";NA;"S"
"433";"flint";NA;"S"
"434";"flintsten";NA;"S"
"435";"flise";NA;"S"
"436";"flitter";"mercury";"S"
"437";"flod";"geg;typ";"S"
"438";"flok";NA;"S"
"439";"floksilke";"tin";"S"
"440";"flomme";"ana";"S"
"441";"flos";NA;"S"
"442";"flugt";"swords";"S"
"443";"flæb";NA;"S"
"444";"flække";"sam";"S"
"445";"fløj";"pol;spo;ark";"S"
"446";"fløjl";"tin";"S"
"447";"fløjte";NA;"S"
"448";"fløjte";"msk";"S"
"449";"flåd";"comet";"S"
"450";"fod";"comet;swords";"S"
"451";"foder";NA;"S"
"452";"fodgænger";NA;"S"
"453";"foermand";NA;"S"
"454";"foerværk";NA;"S"
"455";"foged";"jur";"S"
"456";"fogedi";NA;"S"
"457";"fok";"anchor";"S"
"458";"fold";NA;"S"
"459";"foragt";"psy";"S"
"460";"forbandt";"byg;mur";"S"
"461";"forbeding";NA;"S"
"462";"forborg";NA;"S"
"463";"forbud";NA;"S"
"464";"forbund";"pol";"S"
"465";"fordel";"spo";"S"
"466";"fordrag";NA;"S"
"467";"fordæk";"anchor";"S"
"468";"fordærv";NA;"S"
"469";"forehavende";NA;"S"
"470";"forfader";"fam;bio";"S"
"471";"forfald";NA;"S"
"472";"forfang";NA;"S"
"473";"forgift";NA;"S"
"474";"forhoved";NA;"S"
"475";"forhæng";"bol";"S"
"476";"forhøjning";NA;"S"
"477";"forhør";NA;"S"
"478";"forkastel";NA;"S"
"479";"forkering";NA;"S"
"480";"forkøb";"mercury";"S"
"481";"forlag";NA;"S"
"482";"forlis";NA;"S"
"483";"forlisning";NA;"S"
"484";"forlov";NA;"S"
"485";"forlover";NA;"S"
"486";"forlust";NA;"S"
"487";"forløb";NA;"S"
"488";"form";"wheel;swords";"S"
"489";"formue";NA;"S"
"490";"formuenhed";NA;"S"
"491";"formynder";NA;"S"
"492";"formynderskab";NA;"S"
"493";"fornotling";NA;"S"
"494";"fornuft";"psy";"S"
"495";"forord";NA;"S"
"496";"forpligt";NA;"S"
"497";"forprang";NA;"S"
"498";"forpæling";NA;"S"
"499";"forram";NA;"S"
"500";"forræder";NA;"S"
"501";"forråd";NA;"S"
"502";"forsigtighed";NA;"S"
"503";"forskel";"sex";"S"
"504";"forskrift";NA;"S"
"505";"forskud";NA;"S"
"506";"forsmag";NA;"S"
"507";"forsmædelse";"psy";"S"
"508";"forspan";NA;"S"
"509";"forspil";"anchor;spades";"S"
"510";"forsprekker";NA;"S"
"511";"forspøg";NA;"S"
"512";"forstand";"psy";"S"
"513";"forstander";"und";"S"
"514";"forstrand";NA;"S"
"515";"forstændighed";NA;"S"
"516";"forståelse";NA;"S"
"517";"forsæt";"jur";"S"
"518";"fortgang";NA;"S"
"519";"fortjeneste";"øko";"S"
"520";"fortog";NA;"S"
"521";"fortog";"HAN";"S"
"522";"fortoning";"anchor";"S"
"523";"fortrin";NA;"S"
"524";"fortræd";NA;"S"
"525";"fortøgering";NA;"S"
"526";"forvantskab";NA;"S"
"527";"forvar";NA;"S"
"528";"forvorpenhed";NA;"S"
"529";"foræring";NA;"S"
"530";"forår";"pol";"S"
"531";"fourer";NA;"S"
"532";"fragt";"anchor;mercury";"S"
"533";"fransos";NA;"S"
"534";"fribytter";NA;"S"
"535";"frier";NA;"S"
"536";"frihed";"kri;fri;lit";"S"
"537";"friherre";NA;"S"
"538";"frille";NA;"S"
"539";"fritte";"zoo";"S"
"540";"frokost";"gas";"S"
"541";"fromesse";"rel";"S"
"542";"fruentimmer";NA;"S"
"543";"frugt";"bot;gas";"S"
"544";"frygt";"comet";"S"
"545";"frynt";NA;"S"
"546";"fryntskab";NA;"S"
"547";"frøken";"und";"S"
"548";"fråds";NA;"S"
"549";"fugt";"met;byg;ana";"S"
"550";"fuldbord";NA;"S"
"551";"fuldmagt";"jur";"S"
"552";"fund";NA;"S"
"553";"fust";NA;"S"
"554";"fusthammer";NA;"S"
"555";"fyldest";NA;"S"
"556";"fyr";NA;"S"
"557";"fyraften";"erh";"S"
"558";"fyrbold";NA;"S"
"559";"fyrbolle";NA;"S"
"560";"fyrbøder";"tek";"S"
"561";"fyrighed";NA;"S"
"562";"fyrste";NA;"S"
"563";"fyrstinde";NA;"S"
"564";"fyrtøj";NA;"S"
"565";"fælg";NA;"S"
"566";"fængsel";"jur";"S"
"567";"fænnik";NA;"S"
"568";"fætter";"fam";"S"
"569";"føje";NA;"S"
"570";"føring";"wheel;anchor";"S"
"571";"gaber";NA;"S"
"572";"gadder";NA;"S"
"573";"gaffel";"mad;geg;ski";"S"
"574";"galej";"skb";"S"
"575";"galgant";NA;"S"
"576";"galle";"bot";"S"
"577";"galm";NA;"S"
"578";"gangvogn";NA;"S"
"579";"ganning";NA;"S"
"580";"garn";NA;"S"
"581";"gave";NA;"S"
"582";"gebyr";"mercury";"S"
"583";"gebærd";NA;"S"
"584";"gederams";"bot";"S"
"585";"gefald";NA;"S"
"586";"gehør";NA;"S"
"587";"geled";"mil";"S"
"588";"gelegenhed";NA;"S"
"589";"gelejdsmand";NA;"S"
"590";"gemak";NA;"S"
"591";"gemyse";"gas";"S"
"592";"gerrighed";NA;"S"
"593";"geryst";NA;"S"
"594";"geråd";NA;"S"
"595";"gesel";NA;"S"
"596";"gesellestik";NA;"S"
"597";"gesind";NA;"S"
"598";"gesindeken";NA;"S"
"599";"geskæft";NA;"S"
"600";"geskænk";NA;"S"
"601";"getov";NA;"S"
"602";"gevind";NA;"S"
"603";"gevær";NA;"S"
"604";"gie";"hån";"S"
"605";"gifttyde";"bot";"S"
"606";"gige";"msk";"S"
"607";"gigt";"med";"S"
"608";"gisel";NA;"S"
"609";"gjordel";NA;"S"
"610";"glas";"gla;bol;søf;mål";"S"
"611";"glavind";NA;"S"
"612";"glib";NA;"S"
"613";"glut";NA;"S"
"614";"glætte";NA;"S"
"615";"greve";"kon";"S"
"616";"grever";NA;"S"
"617";"grib";"zoo";"S"
"618";"grimmenis";NA;"S"
"619";"grindel";NA;"S"
"620";"groffenbrad";NA;"S"
"621";"grotfyrste";NA;"S"
"622";"grube";"swords;wheel";"S"
"623";"grue";"comet";"S"
"624";"grus";"gel";"S"
"625";"grut";NA;"S"
"626";"græker";NA;"S"
"627";"grænse";"oad;geg";"S"
"628";"græsenke";NA;"S"
"629";"græskar";"bot";"S"
"630";"græsspire";NA;"S"
"631";"grævling";"zoo";"S"
"632";"grøde";NA;"S"
"633";"grøft";NA;"S"
"634";"grønirisk";"zoo";"S"
"635";"grønsvær";NA;"S"
"636";"gudshus";NA;"S"
"637";"guldværk";NA;"S"
"638";"gunst";NA;"S"
"639";"gylden";NA;"S"
"640";"gylle";"lan";"S"
"641";"gynter";NA;"S"
"642";"gæk";"flower";"S"
"643";"gækkeri";NA;"S"
"644";"gær";NA;"S"
"645";"gæstehus";NA;"S"
"646";"gøgelspil";NA;"S"
"647";"gøgl";"kul";"S"
"648";"gøgler";"bird";"S"
"649";"gåseørn";"bird";"S"
"650";"hage";NA;"S"
"651";"hagebøsse";NA;"S"
"652";"hakke";"anchor";"S"
"653";"hakkebræt";"anchor";"S"
"654";"hakkelse";NA;"S"
"655";"halle";NA;"S"
"656";"hamme";NA;"S"
"657";"hamp";"flower";"S"
"658";"handel";"mercury";"S"
"659";"handling";NA;"S"
"660";"handske";NA;"S"
"661";"hank";NA;"S"
"662";"hanrej";"spades";"S"
"663";"hans";NA;"S"
"664";"hansa";NA;"S"
"665";"harnisk";"våb";"S"
"666";"harpiks";NA;"S"
"667";"harrild";"flower";"S"
"668";"hartkorn";NA;"S"
"669";"harts";NA;"S"
"670";"has";NA;"S"
"671";"hase";NA;"S"
"672";"hast";NA;"S"
"673";"hattestafferer";NA;"S"
"674";"havelværk";NA;"S"
"675";"hedevig";NA;"S"
"676";"heggel";NA;"S"
"677";"hegle";"lan";"S"
"678";"helled";NA;"S"
"679";"hellegat";"anchor";"S"
"680";"hellighed";NA;"S"
"681";"helsfyr";NA;"S"
"682";"helt";"kun";"S"
"683";"hemmelighed";NA;"S"
"684";"henfart";NA;"S"
"685";"herberg";NA;"S"
"686";"herd";"wheel";"S"
"687";"herkomst";NA;"S"
"688";"herlighed";NA;"S"
"689";"hermelin";NA;"S"
"690";"herold";"his";"S"
"691";"herre";"spades;mercury";"S"
"692";"herskab";NA;"S"
"693";"hertug";"kon";"S"
"694";"hidsehund";NA;"S"
"695";"himmelstreg";NA;"S"
"696";"hinderhold";NA;"S"
"697";"hingst";"zoo";"S"
"698";"hippokras";NA;"S"
"699";"hirse";"flower";"S"
"700";"hjerteslag";NA;"S"
"701";"hjælmetegn";NA;"S"
"702";"hjælper";NA;"S"
"703";"hob";NA;"S"
"704";"hof";"kon";"S"
"705";"hoffart";NA;"S"
"706";"hoffourer";"kon";"S"
"707";"hoffærd";NA;"S"
"708";"hoffærdighed";NA;"S"
"709";"hofte";"ana";"S"
"710";"hold";NA;"S"
"711";"holk";"anchor";"S"
"712";"homej";"swords";"S"
"713";"hore";"spades";"S"
"714";"horesøn";NA;"S"
"715";"hospital";NA;"S"
"716";"hov";NA;"S"
"717";"hovedskib";NA;"S"
"718";"hovedstol";"øko";"S"
"719";"hovmand";NA;"S"
"720";"hovmester";"søf;fam";"S"
"721";"hovmod";"psy";"S"
"722";"huj";NA;"S"
"723";"huk";"anchor";"S"
"724";"huld";NA;"S"
"725";"hulsten";NA;"S"
"726";"hulurt";"flower";"S"
"727";"humpel";"anchor";"S"
"728";"hundestejle";"fish";"S"
"729";"hungertitte";NA;"S"
"730";"husbjælke";NA;"S"
"731";"husblas";NA;"S"
"732";"husfrue";NA;"S"
"733";"husgesinde";NA;"S"
"734";"husk";NA;"S"
"735";"hvalrav";NA;"S"
"736";"hvalspæk";NA;"S"
"737";"hverdag";NA;"S"
"738";"hvergarn";NA;"S"
"739";"hverv";NA;"S"
"740";"hvidesøndag";NA;"S"
"741";"hvilling";"fish";"S"
"742";"hylle";NA;"S"
"743";"hyllike";NA;"S"
"744";"hylster";"swords;anchor";"S"
"745";"hyre";"søf";"S"
"746";"hyrling";NA;"S"
"747";"hysken";NA;"S"
"748";"hyssing";"hån";"S"
"749";"hæg";NA;"S"
"750";"hægte";"spo";"S"
"751";"hægte";NA;"S"
"752";"hælding";NA;"S"
"753";"hælvt";NA;"S"
"754";"hængsel";NA;"S"
"755";"høfde";"hvn";"S"
"756";"højtid";NA;"S"
"757";"høker";"han";"S"
"758";"hønnike";NA;"S"
"759";"høns";"comet;spades";"S"
"760";"hørsvinger";NA;"S"
"761";"høved";"lan";"S"
"762";"høvedsmand";NA;"S"
"763";"høvl";"tøm";"S"
"764";"håb";NA;"S"
"765";"hån";"spr";"S"
"766";"håndklove";NA;"S"
"767";"hånhed";NA;"S"
"768";"igle";"flower";"S"
"769";"igt";NA;"S"
"770";"il";NA;"S"
"771";"ilder";"zoo";"S"
"772";"indbildning";NA;"S"
"773";"inddrift";NA;"S"
"774";"inderste";NA;"S"
"775";"indhold";"fil;psy;bog";"S"
"776";"indholt";"anchor";"S"
"777";"indkomst";"øko;ska";"S"
"778";"indlager";NA;"S"
"779";"indpas";NA;"S"
"780";"indsigelse";NA;"S"
"781";"indtog";NA;"S"
"782";"indtrang";NA;"S"
"783";"indvåner";NA;"S"
"784";"ingefær";"flower";"S"
"785";"irisk";"bird";"S"
"786";"isben";NA;"S"
"787";"isenkram";"han;ele;våb";"S"
"788";"isop";"flower";"S"
"789";"ister";NA;"S"
"790";"iver";"psy";"S"
"791";"jabroder";NA;"S"
"792";"jagt";"jag";"S"
"793";"jaherre";NA;"S"
"794";"jakke";"tøj";"S"
"795";"jammer";"comet";"S"
"796";"jammerdal";NA;"S"
"797";"jennik";NA;"S"
"798";"jolle";"anchor";"S"
"799";"jomfru";"sex;asl;bot;erh;mad";"S"
"800";"jordrøg";"flower";"S"
"801";"junge";NA;"S"
"802";"jungelin";NA;"S"
"803";"junker";"his";"S"
"804";"juvelér";NA;"S"
"805";"jæger";"jag;etn;mil";"S"
"806";"jægt";NA;"S"
"807";"jærnurt";NA;"S"
"808";"jøde";NA;"S"
"809";"kabe";"anchor";"S"
"810";"kabel";"anchor;wheel";"S"
"811";"kabeltegn";"anchor";"S"
